x, y,count,not,nand,and,orn,or,andn,nor,xor
0,0,1,6,7,4,6,25,17,0,2
1,0,2,5,6,3,6,25,16,0,0
2,0,2,4,6,3,5,24,15,0,0
3,0,2,3,6,2,5,24,14,0,0
4,0,2,2,5,2,5,23,13,0,0
5,0,3,0,5,2,5,23,12,0,0
6,0,4,0,4,0,5,22,11,0,0
7,0,4,0,4,0,5,22,10,0,0
8,0,4,0,4,0,5,21,10,0,0
9,0,4,0,4,0,5,21,9,0,0
10,0,3,0,3,0,4,21,8,0,1
11,0,3,0,3,0,4,20,7,0,2
12,0,3,0,3,0,4,20,6,0,3
13,0,3,0,3,0,4,19,5,0,3
14,0,3,0,3,0,4,19,4,0,4
15,0,3,0,3,0,4,19,3,0,4
16,0,3,0,2,0,4,18,3,0,4
17,0,3,0,2,0,4,18,2,0,5
18,0,4,0,2,0,5,18,0,0,5
19,0,4,0,2,0,5,17,0,0,5
20,0,5,0,0,0,5,17,0,0,6
21,0,5,0,0,0,5,17,0,0,6
22,0,5,0,0,0,5,16,0,0,7
23,0,5,0,0,0,4,16,0,0,7
24,0,5,0,0,0,4,16,0,0,8
25,0,5,0,0,0,3,16,0,0,8
26,0,4,0,0,0,2,15,0,1,9
27,0,5,0,0,0,0,15,0,2,9
28,0,5,0,0,0,0,15,0,2,8
29,0,5,0,0,0,0,15,0,3,7
30,0,5,0,0,0,0,15,0,3,6
31,0,5,0,0,0,0,15,0,4,5
32,0,5,0,0,0,0,15,0,4,4
33,0,5,0,0,0,0,15,0,5,4
34,0,5,0,0,0,0,14,0,5,3
35,0,5,0,0,0,0,14,0,5,2
36,0,6,0,0,0,0,14,0,6,0
37,0,5,0,0,1,0,14,0,6,0
38,0,5,0,0,2,0,14,0,6,0
39,0,5,0,0,2,0,14,0,7,0
40,0,5,0,0,2,0,14,0,7,0
41,0,5,0,0,3,0,14,0,8,0
42,0,5,0,0,3,0,14,0,9,0
43,0,5,0,0,4,0,14,0,9,0
44,0,5,0,0,4,0,14,0,10,0
45,0,5,0,0,5,0,14,0,11,0
46,0,5,0,0,5,0,14,0,12,0
47,0,5,0,0,6,0,14,0,12,0
48,0,5,0,0,6,0,14,0,13,0
49,0,5,0,0,7,0,14,0,14,0
50,0,5,0,0,7,0,14,0,15,0
51,0,5,0,0,8,0,14,0,16,0
52,0,5,0,0,9,0,14,0,17,0
53,0,5,0,0,9,0,14,0,18,0
54,0,5,0,0,10,0,14,0,19,0
55,0,5,0,0,10,0,14,0,20,0
56,0,5,0,0,11,0,14,0,21,0
57,0,5,0,0,12,0,14,0,22,0
58,0,5,0,0,12,0,14,0,23,0
59,0,5,0,0,13,0,14,0,24,0
0,1,2,6,6,3,5,25,17,0,0
1,1,2,5,6,3,5,24,16,0,0
2,1,2,4,5,2,5,24,15,0,0
3,1,2,3,5,2,4,23,14,0,0
4,1,3,2,5,0,4,23,13,0,0
5,1,4,0,4,0,4,22,12,0,0
6,1,4,0,4,0,4,22,11,0,0
7,1,4,0,3,0,4,21,10,0,0
8,1,4,0,3,0,4,21,9,0,0
9,1,4,0,3,0,4,20,9,0,0
10,1,3,0,3,0,4,20,8,0,1
11,1,3,0,2,0,3,20,7,0,2
12,1,3,0,2,0,3,19,6,0,2
13,1,3,0,2,0,3,19,5,0,3
14,1,3,0,2,0,3,18,4,0,3
15,1,3,0,2,0,3,18,3,0,3
16,1,3,0,2,0,3,18,2,0,4
17,1,4,0,0,0,4,17,2,0,4
18,1,4,0,1,0,4,17,0,0,4
19,1,5,0,0,0,4,17,0,0,5
20,1,5,0,0,0,4,16,0,0,5
21,1,5,0,0,0,4,16,0,0,6
22,1,5,0,0,0,4,16,0,0,6
23,1,5,0,0,0,4,15,0,0,7
24,1,5,0,0,0,3,15,0,0,7
25,1,5,0,0,0,3,15,0,0,8
26,1,5,0,0,0,2,15,0,0,8
27,1,5,0,0,0,0,14,0,1,8
28,1,5,0,0,0,0,14,0,2,8
29,1,5,0,0,0,0,14,0,2,7
30,1,5,0,0,0,0,14,0,3,6
31,1,5,0,0,0,0,14,0,3,5
32,1,5,0,0,0,0,14,0,4,4
33,1,5,0,0,0,0,14,0,4,3
34,1,5,0,0,0,0,14,0,4,3
35,1,5,0,0,0,0,13,0,5,2
36,1,6,0,0,0,0,13,0,5,0
37,1,6,0,0,0,0,13,0,5,0
38,1,6,0,0,0,0,13,0,6,0
39,1,5,0,0,1,0,13,0,6,0
40,1,5,0,0,2,0,13,0,7,0
41,1,5,0,0,2,0,13,0,8,0
42,1,5,0,0,3,0,13,0,8,0
43,1,5,0,0,3,0,13,0,9,0
44,1,5,0,0,4,0,13,0,10,0
45,1,5,0,0,4,0,13,0,11,0
46,1,5,0,0,5,0,13,0,11,0
47,1,5,0,0,5,0,13,0,12,0
48,1,5,0,0,6,0,13,0,13,0
49,1,5,0,0,6,0,13,0,14,0
50,1,5,0,0,7,0,13,0,15,0
51,1,5,0,0,8,0,13,0,16,0
52,1,5,0,0,8,0,13,0,17,0
53,1,5,0,0,9,0,13,0,18,0
54,1,5,0,0,9,0,13,0,19,0
55,1,5,0,0,10,0,13,0,20,0
56,1,5,0,0,11,0,13,0,21,0
57,1,5,0,0,11,0,13,0,22,0
58,1,5,0,0,12,0,13,0,23,0
59,1,5,0,0,13,0,13,0,24,0
0,2,2,5,6,3,4,24,17,0,0
1,2,2,5,5,2,4,24,16,0,0
2,2,2,4,5,2,4,23,15,0,0
3,2,3,3,4,0,4,23,14,0,0
4,2,3,2,4,0,3,22,13,0,0
5,2,4,0,4,0,3,22,12,0,0
6,2,4,0,3,0,3,21,11,0,0
7,2,4,0,3,0,3,21,10,0,0
8,2,4,0,2,0,3,20,9,0,0
9,2,4,0,2,0,3,20,8,0,0
10,2,4,0,2,0,3,19,8,0,0
11,2,3,0,2,0,3,19,7,0,1
12,2,4,0,0,0,2,19,6,0,2
13,2,4,0,0,0,2,18,5,0,2
14,2,4,0,0,0,2,18,4,0,2
15,2,4,0,0,0,2,17,3,0,3
16,2,4,0,0,0,3,17,2,0,3
17,2,5,0,0,0,3,17,0,0,3
18,2,5,0,0,0,3,16,0,0,4
19,2,5,0,0,0,3,16,0,0,4
20,2,5,0,0,0,3,16,0,0,5
21,2,5,0,0,0,3,15,0,0,5
22,2,5,0,0,0,3,15,0,0,6
23,2,5,0,0,0,3,15,0,0,6
24,2,5,0,0,0,3,14,0,0,7
25,2,5,0,0,0,2,14,0,0,7
26,2,5,0,0,0,2,14,0,0,8
27,2,6,0,0,0,0,14,0,0,8
28,2,5,0,0,0,0,13,0,1,7
29,2,5,0,0,0,0,13,0,2,7
30,2,5,0,0,0,0,13,0,2,6
31,2,5,0,0,0,0,13,0,3,5
32,2,5,0,0,0,0,13,0,3,4
33,2,5,0,0,0,0,13,0,3,3
34,2,5,0,0,0,0,13,0,4,2
