x, y,count,not,nand,and,orn,or,andn,nor,xor
0,0,2,2,0,13,13,7,16,14,0
1,0,2,2,0,13,12,6,15,13,0
2,0,2,2,0,13,11,6,15,13,0
3,0,3,0,0,13,11,5,14,13,0
4,0,2,1,0,13,10,4,14,13,0
5,0,2,2,0,13,9,4,13,12,0
6,0,2,2,0,13,8,3,13,12,0
7,0,2,2,0,12,7,2,13,12,0
8,0,3,0,0,12,6,2,12,12,0
9,0,4,0,0,12,5,0,12,12,0
10,0,3,0,0,12,4,0,12,12,1
11,0,3,0,0,12,4,0,12,12,2
12,0,4,0,0,12,3,0,12,12,0
13,0,4,0,0,12,2,0,11,11,0
14,0,5,0,0,12,0,0,11,11,0
15,0,5,0,0,12,0,0,11,11,0
16,0,5,0,0,12,0,0,11,11,0
17,0,5,0,0,12,0,0,11,11,0
18,0,5,0,0,12,0,0,11,11,0
19,0,5,0,0,12,0,0,10,11,0
20,0,5,0,0,12,0,0,9,11,0
21,0,5,0,0,12,0,0,8,11,0
22,0,5,0,0,12,0,0,7,11,0
23,0,5,0,0,12,0,0,6,11,0
24,0,5,0,0,12,0,0,5,11,0
25,0,5,0,0,12,0,0,4,11,0
26,0,5,0,0,12,0,0,3,11,0
27,0,5,0,0,12,0,0,2,11,0
28,0,5,0,0,12,0,0,2,11,0
29,0,6,0,0,12,0,0,0,11,0
30,0,6,0,0,12,0,0,0,11,0
31,0,6,0,0,13,0,0,0,11,0
32,0,6,0,0,13,0,0,0,11,0
33,0,6,0,0,13,0,0,0,11,0
34,0,6,0,0,13,0,0,0,11,0
35,0,6,0,0,13,0,0,0,12,0
36,0,6,0,0,13,0,0,0,12,0
37,0,6,0,0,13,0,0,0,12,0
38,0,6,0,0,13,0,0,0,12,0
39,0,6,0,0,14,0,0,0,12,0
40,0,5,0,1,14,0,0,0,13,0
41,0,4,0,2,14,0,0,0,13,1
42,0,4,0,2,14,0,0,0,14,2
43,0,4,0,3,15,0,0,0,14,2
44,0,4,0,3,15,0,0,0,15,3
45,0,4,0,4,15,0,0,0,15,3
46,0,4,0,5,15,0,0,0,15,4
47,0,4,0,5,16,0,0,0,15,4
48,0,4,0,6,16,0,0,0,15,5
49,0,4,0,6,17,0,0,0,15,5
50,0,4,0,7,17,0,0,0,15,6
51,0,4,0,8,17,0,0,0,15,6
52,0,4,0,8,18,0,0,0,15,7
53,0,4,0,9,18,0,0,0,15,7
54,0,4,0,10,18,0,0,0,15,8
55,0,4,0,10,19,0,0,0,15,9
56,0,4,0,11,19,0,0,0,15,9
57,0,4,0,12,20,0,0,0,15,10
58,0,4,0,12,20,0,0,0,15,11
59,0,4,0,13,21,0,0,0,15,11
0,1,3,0,0,12,13,7,15,13,0
1,1,3,0,0,12,12,6,15,13,0
2,1,3,0,0,12,11,5,14,12,0
3,1,3,0,0,12,10,5,14,12,0
4,1,3,0,0,12,10,4,13,12,0
5,1,3,0,0,12,9,3,13,12,0
6,1,3,0,0,12,8,3,12,11,0
7,1,3,0,0,12,7,2,12,11,0
8,1,4,0,0,11,6,0,12,11,0
9,1,4,0,0,11,5,0,11,11,0
10,1,3,0,0,11,4,0,11,11,1
11,1,4,0,0,11,3,0,11,11,0
12,1,4,0,0,11,3,0,11,11,0
13,1,4,0,0,11,2,0,11,11,0
14,1,5,0,0,11,0,0,10,10,0
15,1,5,0,0,11,0,0,10,10,0
16,1,5,0,0,11,0,0,10,10,0
17,1,5,0,0,11,0,0,10,10,0
18,1,5,0,0,11,0,0,10,10,0
19,1,5,0,0,11,0,0,10,10,0
20,1,5,0,0,11,0,0,9,10,0
21,1,5,0,0,11,0,0,8,10,0
22,1,5,0,0,11,0,0,7,10,0
23,1,5,0,0,11,0,0,6,10,0
