x, y,count,not,nand,and,orn,or,andn,nor,xor
20,5,6,0,0,0,0,0,8,0,3
21,5,6,0,0,0,0,0,9,0,2
22,5,7,0,0,0,0,0,10,0,0
23,5,7,0,0,0,0,0,10,0,0
24,5,7,0,0,0,0,0,9,0,0
25,5,7,0,0,0,0,0,9,0,0
26,5,7,0,0,0,0,0,9,0,0
27,5,7,0,0,0,0,0,9,0,0
28,5,7,0,0,0,0,0,9,0,0
29,5,7,0,0,0,0,0,9,0,0
30,5,7,0,0,0,0,0,9,0,0
31,5,7,0,0,0,0,0,9,0,0
32,5,7,0,0,0,0,0,9,0,0
33,5,7,0,0,0,0,0,9,0,0
34,5,7,0,0,0,0,0,9,0,0
35,5,7,0,0,0,0,0,8,0,0
36,5,6,0,0,1,0,0,8,0,0
37,5,6,0,0,2,0,0,8,0,0
38,5,6,0,0,3,0,0,7,0,0
39,5,6,0,0,4,0,0,6,0,0
40,5,6,0,0,4,0,0,5,0,0
41,5,6,0,0,5,0,0,4,0,0
42,5,6,0,0,6,0,0,4,0,0
43,5,6,0,0,7,0,0,3,0,0
44,5,6,0,0,8,0,0,2,0,0
45,5,7,0,0,9,0,0,0,0,0
46,5,7,0,0,10,0,0,0,0,0
47,5,7,0,0,11,0,0,0,0,0
48,5,7,0,0,12,0,0,0,0,0
49,5,7,0,0,13,0,0,0,0,0
50,5,7,0,0,14,0,0,0,0,0
51,5,6,0,0,15,0,0,0,1,0
52,5,6,0,0,16,0,0,0,2,0
53,5,6,0,0,17,0,0,0,2,0
54,5,6,0,0,18,0,0,0,3,0
55,5,6,0,0,18,0,0,0,3,0
56,5,6,0,0,18,0,0,0,4,0
57,5,6,0,0,19,0,0,0,4,0
58,5,6,0,0,19,0,0,0,5,0
59,5,5,0,0,19,0,0,0,5,1
0,6,6,0,0,0,0,12,0,0,22
1,6,6,0,0,0,0,11,0,0,21
2,6,6,0,0,0,0,10,0,0,20
3,6,6,0,0,0,0,9,0,0,19
4,6,6,0,0,0,0,8,0,0,18
5,6,6,0,0,0,0,7,0,0,17
6,6,6,0,0,0,0,6,0,0,16
7,6,6,0,0,0,0,5,0,0,15
8,6,6,0,0,0,0,4,0,0,14
9,6,6,0,0,0,0,3,0,0,13
10,6,6,0,0,0,0,2,0,0,12
11,6,5,0,0,0,0,2,1,0,11
12,6,6,0,0,0,0,0,2,0,10
13,6,6,0,0,0,0,0,2,0,9
14,6,6,0,0,0,0,0,3,0,8
15,6,6,0,0,0,0,0,4,0,7
16,6,6,0,0,0,0,0,5,0,6
17,6,6,0,0,0,0,0,6,0,5
18,6,6,0,0,0,0,0,6,0,4
19,6,6,0,0,0,0,0,7,0,3
20,6,6,0,0,0,0,0,8,0,3
21,6,6,0,0,0,0,0,9,0,2
22,6,7,0,0,0,0,0,9,0,0
23,6,7,0,0,0,0,0,9,0,0
24,6,7,0,0,0,0,0,9,0,0
25,6,7,0,0,0,0,0,8,0,0
26,6,7,0,0,0,0,0,8,0,0
27,6,7,0,0,0,0,0,8,0,0
28,6,7,0,0,0,0,0,8,0,0
29,6,7,0,0,0,0,0,8,0,0
30,6,7,0,0,0,0,0,8,0,0
31,6,7,0,0,0,0,0,8,0,0
32,6,7,0,0,0,0,0,8,0,0
33,6,7,0,0,0,0,0,8,0,0
34,6,7,0,0,0,0,0,8,0,0
35,6,7,0,0,0,0,0,8,0,0
36,6,6,0,0,1,0,0,7,0,0
37,6,6,0,0,2,0,0,7,0,0
38,6,6,0,0,3,0,0,7,0,0
39,6,6,0,0,4,0,0,6,0,0
40,6,6,0,0,5,0,0,5,0,0
41,6,6,0,0,5,0,0,5,0,0
42,6,6,0,0,6,0,0,4,0,0
43,6,6,0,0,7,0,0,3,0,0
44,6,6,0,0,8,0,0,2,0,0
45,6,6,0,0,9,0,0,1,0,0
46,6,7,0,0,10,0,0,0,0,0
47,6,7,0,0,11,0,0,0,0,0
48,6,7,0,0,12,0,0,0,0,0
49,6,7,0,0,13,0,0,0,0,0
50,6,7,0,0,14,0,0,0,0,0
51,6,7,0,0,15,0,0,0,0,0
52,6,6,0,0,16,0,0,0,1,0
53,6,6,0,0,17,0,0,0,2,0
54,6,6,0,0,17,0,0,0,2,0
55,6,6,0,0,17,0,0,0,3,0
56,6,6,0,0,18,0,0,0,3,0
57,6,6,0,0,18,0,0,0,4,0
58,6,6,0,0,18,0,0,0,4,0
59,6,5,0,0,18,0,0,0,5,1
0,7,6,0,0,0,0,12,0,0,22
1,7,6,0,0,0,0,11,0,0,21
2,7,6,0,0,0,0,10,0,0,20
3,7,6,0,0,0,0,9,0,0,19
4,7,6,0,0,0,0,8,0,0,18
5,7,6,0,0,0,0,7,0,0,17
6,7,6,0,0,0,0,6,0,0,16
7,7,6,0,0,0,0,5,0,0,15
8,7,6,0,0,0,0,4,0,0,14
9,7,6,0,0,0,0,3,0,0,13
10,7,5,0,0,0,0,3,1,0,12
11,7,5,0,0,0,0,2,1,0,11
12,7,6,0,0,0,0,0,2,0,10
13,7,6,0,0,0,0,0,3,0,9
14,7,6,0,0,0,0,0,3,0,8
15,7,6,0,0,0,0,0,4,0,7
16,7,6,0,0,0,0,0,5,0,6
17,7,6,0,0,0,0,0,6,0,5
18,7,6,0,0,0,0,0,7,0,4
19,7,6,0,0,0,0,0,7,0,3
20,7,6,0,0,0,0,0,8,0,2
21,7,6,0,0,0,0,0,9,0,2
22,7,7,0,0,0,0,0,8,0,0
23,7,7,0,0,0,0,0,8,0,0
24,7,7,0,0,0,0,0,8,0,0
25,7,7,0,0,0,0,0,8,0,0
26,7,7,0,0,0,0,0,7,0,0
27,7,7,0,0,0,0,0,7,0,0
28,7,7,0,0,0,0,0,7,0,0
29,7,7,0,0,0,0,0,7,0,0
30,7,7,0,0,0,0,0,7,0,0
31,7,7,0,0,0,0,0,7,0,0
32,7,7,0,0,0,0,0,7,0,0
33,7,7,0,0,0,0,0,7,0,0
34,7,7,0,0,0,0,0,7,0,0
35,7,7,0,0,0,0,0,7,0,0
36,7,6,0,0,1,0,0,7,0,0
37,7,6,0,0,2,0,0,6,0,0
38,7,6,0,0,3,0,0,6,0,0
