x, y,not,nand,and,orn,or,andn,nor,xor
45,11,6,15,12,19,0,4,0,0
46,11,7,14,12,19,0,4,0,0
47,11,8,13,12,18,0,4,0,0
48,11,9,12,12,18,0,4,0,0
49,11,10,11,12,17,0,4,0,0
50,11,10,10,12,17,0,4,0,0
51,11,9,9,12,16,0,4,0,0
52,11,8,8,12,16,0,4,0,0
53,11,7,7,12,16,0,5,0,0
54,11,6,6,12,16,0,5,0,0
55,11,5,5,12,16,0,5,0,0
56,11,4,4,12,15,0,5,0,0
57,11,3,3,12,15,0,5,0,0
58,11,2,2,12,15,0,5,0,0
0,12,0,0,13,16,1,5,1,1
1,12,0,0,13,16,2,5,2,2
2,12,0,0,13,16,3,5,3,3
3,12,0,0,13,16,4,6,4,4
4,12,0,0,13,16,5,6,5,5
5,12,0,0,13,16,6,6,6,6
6,12,0,0,13,16,7,7,6,7
7,12,0,0,13,16,8,8,5,8
8,12,0,0,13,16,9,9,4,9
9,12,0,0,13,16,10,10,4,10
10,12,0,0,14,16,11,11,3,11
11,12,0,0,14,16,12,12,2,12
12,12,0,0,14,16,11,13,2,13
13,12,0,0,14,16,10,14,0,14
14,12,0,0,15,16,9,15,0,15
15,12,0,1,16,16,8,16,0,16
16,12,0,2,17,16,7,16,0,17
17,12,0,3,18,16,6,15,0,18
18,12,0,4,19,16,5,14,0,17
19,12,0,4,20,16,4,14,0,16
20,12,0,5,21,16,3,13,0,15
21,12,0,6,22,16,3,12,0,14
22,12,0,7,23,16,2,12,0,13
23,12,0,8,23,16,0,11,0,12
24,12,0,9,23,16,0,11,0,11
25,12,0,10,22,16,0,10,0,10
26,12,0,11,21,16,0,10,0,9
27,12,0,12,20,16,0,9,0,8
28,12,0,13,19,17,0,9,0,7
29,12,0,14,19,17,0,8,0,6
30,12,0,15,18,17,0,8,0,5
31,12,0,16,17,17,0,7,0,4
32,12,0,17,17,17,0,7,0,3
33,12,0,18,16,18,0,6,0,3
34,12,0,19,16,18,0,6,0,2
35,12,0,20,15,19,0,6,0,0
36,12,0,21,15,19,0,5,0,0
37,12,0,22,15,20,0,5,0,0
38,12,0,22,14,20,0,5,0,0
39,12,1,21,14,21,0,4,0,0
40,12,2,20,14,21,0,4,0,0
41,12,3,19,14,22,0,4,0,0
42,12,3,18,14,21,0,4,0,0
43,12,4,17,13,21,0,4,0,0
44,12,5,16,13,20,0,4,0,0
45,12,6,15,13,20,0,4,0,0
46,12,7,14,13,19,0,3,0,0
47,12,8,13,13,19,0,3,0,0
48,12,9,12,13,18,0,3,0,0
49,12,10,11,13,18,0,3,0,0
50,12,10,10,13,17,0,3,0,0
51,12,9,9,13,17,0,3,0,0
52,12,8,8,13,17,0,4,0,0
53,12,7,7,13,17,0,4,0,0
54,12,6,6,13,17,0,4,0,0
55,12,5,5,13,16,0,4,0,0
56,12,4,4,13,16,0,4,0,0
57,12,3,3,13,16,0,4,0,0
58,12,2,2,13,16,0,4,0,0
0,13,0,0,14,17,1,4,1,1
1,13,0,0,14,17,2,4,2,2
2,13,0,0,14,17,3,5,3,3
3,13,0,0,14,17,4,5,4,4
4,13,0,0,14,17,5,5,5,5
5,13,0,0,14,17,6,6,6,6
6,13,0,0,14,17,7,7,5,7
7,13,0,0,14,17,8,8,5,8
8,13,0,0,14,17,9,9,4,9
9,13,0,0,14,17,10,10,3,10
10,13,0,0,14,17,11,11,3,11
11,13,0,0,15,17,12,12,2,12
12,13,0,0,15,17,11,13,0,13
13,13,0,0,15,17,10,14,0,14
14,13,0,0,15,17,9,15,0,15
15,13,0,1,16,17,8,16,0,16
16,13,0,2,17,17,7,15,0,17
17,13,0,3,18,17,6,15,0,18
18,13,0,3,19,17,5,14,0,17
19,13,0,4,20,17,4,13,0,16
20,13,0,5,21,17,3,13,0,15
21,13,0,6,22,17,2,12,0,14
22,13,0,7,23,17,2,11,0,13
23,13,0,8,24,17,0,11,0,12
24,13,0,9,23,17,0,10,0,11
25,13,0,10,22,17,0,10,0,10
26,13,0,11,21,17,0,9,0,9
27,13,0,12,20,17,0,9,0,8
28,13,0,13,20,17,0,8,0,7
29,13,0,14,19,18,0,8,0,6
30,13,0,15,18,18,0,7,0,5
31,13,0,16,18,18,0,7,0,4
32,13,0,17,17,18,0,6,0,4
33,13,0,18,17,18,0,6,0,3
34,13,0,19,16,19,0,5,0,2
35,13,0,20,16,19,0,5,0,0
36,13,0,21,16,20,0,5,0,0
37,13,0,22,15,20,0,4,0,0
38,13,0,22,15,21,0,4,0,0
39,13,1,21,15,21,0,4,0,0
40,13,2,20,15,22,0,3,0,0
41,13,3,19,15,22,0,3,0,0
42,13,4,18,14,22,0,3,0,0
43,13,4,17,14,21,0,3,0,0
44,13,5,16,14,21,0,3,0,0
45,13,6,15,14,20,0,3,0,0
46,13,7,14,14,20,0,3,0,0
47,13,8,13,14,19,0,2,0,0
48,13,9,12,14,19,0,2,0,0
49,13,10,11,14,18,0,2,0,0
50,13,10,10,14,18,0,2,0,0
51,13,9,9,14,18,0,3,0,0
52,13,8,8,14,18,0,3,0,0
53,13,7,7,14,18,0,3,0,0
54,13,6,6,14,17,0,3,0,0
55,13,5,5,14,17,0,3,0,0
56,13,4,4,14,17,0,3,0,0
57,13,3,3,14,17,0,3,0,0
58,13,2,2,14,17,0,4,0,0
0,14,0,0,15,18,1,3,1,1
1,14,0,0,15,18,2,4,2,2
2,14,0,0,15,18,3,4,3,3
3,14,0,0,15,18,4,4,4,4
4,14,0,0,15,18,5,5,5,5
5,14,0,0,15,18,6,6,6,6
6,14,0,0,15,18,7,7,5,7
7,14,0,0,15,18,8,8,4,8
8,14,0,0,15,18,9,9,4,9
9,14,0,0,15,18,10,10,3,10
10,14,0,0,15,18,11,11,2,11
11,14,0,0,15,18,12,12,2,12
12,14,0,0,16,18,11,13,0,13
13,14,0,0,16,18,10,14,0,14
14,14,0,0,16,18,9,15,0,15
15,14,0,1,16,18,8,16,0,16
16,14,0,2,17,18,7,15,0,17
17,14,0,2,18,18,6,14,0,18
18,14,0,3,19,18,5,14,0,17
19,14,0,4,20,18,4,13,0,16
20,14,0,5,21,18,3,12,0,15
21,14,0,6,22,18,2,12,0,14
22,14,0,7,23,18,0,11,0,13
23,14,0,8,24,18,0,10,0,12
24,14,0,9,23,18,0,10,0,11
25,14,0,10,22,18,0,9,0,10
26,14,0,11,21,18,0,9,0,9
27,14,0,12,21,18,0,8,0,8
28,14,0,13,20,18,0,8,0,7
29,14,0,14,19,18,0,7,0,6
30,14,0,15,19,19,0,7,0,5
31,14,0,16,18,19,0,6,0,5
32,14,0,17,18,19,0,6,0,4
33,14,0,18,17,19,0,5,0,3
34,14,0,19,17,19,0,5,0,2
35,14,0,20,17,20,0,4,0,0
36,14,0,21,16,20,0,4,0,0
37,14,0,22,16,21,0,4,0,0
38,14,0,22,16,21,0,3,0,0
39,14,1,21,16,22,0,3,0,0
40,14,2,20,16,22,0,3,0,0
41,14,3,19,15,23,0,2,0,0
42,14,4,18,15,22,0,2,0,0
43,14,5,17,15,22,0,2,0,0
44,14,5,16,15,21,0,2,0,0
45,14,6,15,15,21,0,2,0,0
46,14,7,14,15,20,0,2,0,0
47,14,8,13,15,20,0,2,0,0
48,14,9,12,15,19,0,0,0,0
49,14,10,11,15,19,0,1,0,0
50,14,10,10,15,19,0,2,0,0
51,14,9,9,15,19,0,2,0,0
52,14,8,8,15,19,0,2,0,0
53,14,7,7,15,18,0,2,0,0
54,14,6,6,15,18,0,2,0,0
55,14,5,5,15,18,0,2,0,0
56,14,4,4,15,18,0,2,0,0
57,14,3,3,15,18,0,3,0,0
58,14,2,2,15,18,0,3,0,0
0,15,0,0,16,19,1,3,1,1
1,15,0,0,16,19,2,3,2,2
2,15,0,0,16,19,3,3,3,3
3,15,0,0,16,19,4,4,4,4
4,15,0,0,16,19,5,5,5,5
5,15,0,0,16,19,6,6,6,6
6,15,0,0,16,19,7,7,5,7
7,15,0,0,16,19,8,8,4,8
8,15,0,0,16,19,9,9,3,9
9,15,0,0,16,19,10,10,3,10
10,15,0,0,16,19,11,11,2,11
11,15,0,0,16,19,12,12,0,12
12,15,0,0,16,19,11,13,0,13
13,15,0,0,17,19,10,14,0,14
14,15,0,0,17,19,9,15,0,15
15,15,0,0,17,19,8,16,0,16
16,15,0,1,17,19,7,15,0,17
17,15,0,2,18,19,6,14,0,18
18,15,0,3,19,19,5,13,0,17
19,15,0,4,20,19,4,13,0,16
20,15,0,5,21,19,3,12,0,15
21,15,0,6,22,19,2,11,0,14
22,15,0,7,23,19,1,11,0,13
23,15,0,8,24,19,0,10,0,12
24,15,0,9,23,19,0,9,0,11
25,15,0,10,22,19,0,9,0,10
26,15,0,11,22,19,0,8,0,9
27,15,0,12,21,19,0,8,0,8
28,15,0,13,20,19,0,7,0,7
29,15,0,14,20,19,0,7,0,6
30,15,0,15,19,19,0,6,0,6
31,15,0,16,19,20,0,6,0,5
32,15,0,17,18,20,0,5,0,4
33,15,0,18,18,20,0,5,0,3
34,15,0,19,18,20,0,4,0,2
35,15,0,20,17,20,0,4,0,0
36,15,0,21,17,21,0,3,0,0
37,15,0,22,17,21,0,3,0,0
38,15,0,22,17,22,0,3,0,0
39,15,1,21,17,22,0,2,0,0
40,15,2,20,16,23,0,2,0,0
41,15,3,19,16,23,0,2,0,0
42,15,4,18,16,23,0,0,0,0
43,15,5,17,16,22,0,0,0,0
44,15,6,16,16,22,0,0,0,0
45,15,6,15,16,21,0,0,0,0
46,15,7,14,16,21,0,0,0,0
47,15,8,13,16,20,0,0,0,0
48,15,9,12,16,20,0,0,0,0
49,15,10,11,16,20,0,0,0,0
50,15,10,10,16,20,0,0,0,0
51,15,9,9,16,20,0,0,0,0
52,15,8,8,16,19,0,0,0,0
53,15,7,7,16,19,0,0,0,0
54,15,6,6,16,19,0,0,0,0
55,15,5,5,16,19,0,1,0,0
56,15,4,4,16,19,0,2,0,0
57,15,3,3,16,19,0,2,0,0
58,15,2,2,16,19,0,2,0,0
0,16,0,0,17,20,1,2,1,1
1,16,0,0,17,20,2,2,2,2
2,16,0,0,17,20,3,3,3,3
3,16,0,0,17,20,4,4,4,4
4,16,0,0,17,20,5,5,5,5
5,16,0,0,17,20,6,6,5,6
6,16,0,0,17,20,7,7,5,7
7,16,0,0,17,20,8,8,4,8
8,16,0,0,17,20,9,9,3,9
9,16,0,0,17,20,10,10,2,10
10,16,0,0,17,20,11,11,2,11
11,16,0,0,17,20,12,12,0,12
12,16,0,0,17,20,11,13,0,13
13,16,0,0,17,20,10,14,0,14
14,16,0,0,18,20,9,15,0,15
15,16,0,1,18,20,8,16,0,16
16,16,0,1,18,20,7,15,0,17
17,16,0,2,18,20,6,14,0,18
18,16,0,3,19,20,5,13,0,17
19,16,0,4,20,20,4,12,0,16
20,16,0,5,21,20,3,12,0,15
21,16,0,6,22,20,2,11,0,14
22,16,0,7,23,20,2,10,0,13
23,16,0,8,24,20,0,10,0,12
24,16,0,9,23,20,0,9,0,11
25,16,0,10,23,20,0,8,0,10
26,16,0,11,22,20,0,8,0,9
27,16,0,12,21,20,0,7,0,8
28,16,0,13,21,20,0,7,0,7
29,16,0,14,20,20,0,6,0,7
30,16,0,15,20,20,0,6,0,6
31,16,0,16,19,20,0,5,0,5
32,16,0,17,19,21,0,5,0,4
33,16,0,18,19,21,0,4,0,3
34,16,0,19,18,21,0,4,0,2
35,16,0,20,18,21,0,3,0,1
36,16,0,21,18,21,0,3,0,0
37,16,0,22,18,22,0,2,0,0
38,16,0,22,18,22,0,2,0,0
39,16,1,21,17,23,0,2,0,0
40,16,2,20,17,23,0,0,0,0
41,16,3,19,17,24,0,0,0,0
42,16,4,18,17,23,0,0,0,0
43,16,5,17,17,23,0,0,0,0
44,16,6,16,17,22,0,0,0,0
45,16,7,15,17,22,0,0,0,0
46,16,7,14,17,21,0,0,0,0
47,16,8,13,17,21,0,0,0,0
48,16,9,12,17,21,0,0,0,0
49,16,10,11,17,21,0,0,0,0
50,16,10,10,17,21,0,0,0,0
51,16,9,9,17,20,0,0,0,0
52,16,8,8,17,20,0,0,0,0
53,16,7,7,17,20,0,0,0,0
54,16,6,6,17,20,0,0,0,0
55,16,5,5,17,20,0,0,0,0
56,16,4,4,17,20,0,0,0,0
57,16,3,3,17,20,0,1,0,0
58,16,2,2,17,20,0,2,0,0
0,17,0,0,18,21,1,1,1,1
1,17,0,0,18,21,2,2,2,2
2,17,0,0,18,21,3,3,3,3
3,17,0,0,18,21,4,4,4,4
4,17,0,0,18,21,5,5,5,5
5,17,0,0,18,21,6,6,5,6
6,17,0,0,18,21,7,7,4,7
7,17,0,0,18,21,8,8,4,8
8,17,0,0,18,21,9,9,3,9
9,17,0,0,18,21,10,10,2,10
10,17,0,0,18,21,11,11,0,11
11,17,0,0,18,21,12,12,0,12
12,17,0,0,18,21,11,13,0,13
13,17,0,0,18,21,10,14,0,14
14,17,0,0,18,21,9,15,0,15
15,17,0,1,19,21,8,16,0,16
16,17,0,2,19,21,7,15,0,17
17,17,0,2,19,21,6,14,0,18
18,17,0,3,19,21,5,13,0,17
19,17,0,4,20,21,4,12,0,16
20,17,0,5,21,21,3,11,0,15
21,17,0,6,22,21,3,11,0,14
22,17,0,7,23,21,2,10,0,13
23,17,0,8,24,21,0,9,0,12
24,17,0,9,24,21,0,9,0,11
25,17,0,10,23,21,0,8,0,10
26,17,0,11,22,21,0,7,0,9
27,17,0,12,22,21,0,7,0,8
28,17,0,13,21,21,0,6,0,8
29,17,0,14,21,21,0,6,0,7
30,17,0,15,20,21,0,5,0,6
31,17,0,16,20,21,0,5,0,5
32,17,0,17,20,21,0,4,0,4
33,17,0,18,19,22,0,4,0,3
34,17,0,19,19,22,0,3,0,2
35,17,0,20,19,22,0,3,0,2
36,17,0,21,19,22,0,2,0,0
37,17,0,22,19,22,0,2,0,0
38,17,1,22,18,23,0,0,0,0
39,17,1,21,18,23,0,0,0,0
40,17,2,20,18,24,0,0,0,0
41,17,3,19,18,24,0,0,0,0
42,17,4,18,18,24,0,0,0,0
43,17,5,17,18,23,0,0,0,0
44,17,6,16,18,23,0,0,0,0
45,17,7,15,18,22,0,0,0,0
46,17,8,14,18,22,0,0,0,0
47,17,8,13,18,22,0,0,0,0
48,17,9,12,18,22,0,0,0,0
49,17,10,11,18,22,0,0,0,0
50,17,10,10,18,21,0,0,0,0
51,17,9,9,18,21,0,0,0,0
52,17,8,8,18,21,0,0,0,0
53,17,7,7,18,21,0,0,0,0
54,17,6,6,18,21,0,0,0,0
55,17,5,5,18,21,0,0,0,0
56,17,4,4,18,21,0,0,0,0
57,17,3,3,18,21,0,0,0,0
58,17,2,2,18,21,0,0,0,0
0,18,0,0,19,20,1,1,1,1
1,18,0,0,19,20,2,2,2,2
2,18,0,0,19,20,3,3,3,3
3,18,0,0,19,20,4,4,4,4
4,18,0,0,19,20,5,5,5,5
5,18,0,0,19,20,6,6,5,6
6,18,0,0,19,20,7,7,4,7
7,18,0,0,19,20,8,8,3,8
8,18,0,0,19,20,9,9,3,9
9,18,0,0,19,20,10,10,2,10
10,18,0,0,19,20,11,11,0,11
11,18,0,0,19,20,12,12,0,12
12,18,0,0,19,20,11,13,0,13
13,18,0,0,19,20,10,14,0,14
14,18,0,0,19,20,9,15,0,15
15,18,0,1,19,20,8,16,0,16
16,18,0,2,20,20,7,15,0,17
17,18,0,3,20,20,6,14,0,18
18,18,0,3,20,20,5,13,0,17
19,18,0,4,20,20,4,12,0,16
20,18,0,5,21,20,4,11,0,15
21,18,0,6,22,20,3,10,0,14
22,18,0,7,23,20,2,10,0,13
23,18,0,8,24,20,0,9,0,12
24,18,0,9,24,20,0,8,0,11
25,18,0,10,23,20,0,8,0,10
26,18,0,11,23,20,0,7,0,9
27,18,0,12,22,20,0,6,0,9
28,18,0,13,22,20,0,6,0,8
29,18,0,14,21,20,0,5,0,7
30,18,0,15,21,20,0,5,0,6
31,18,0,16,21,20,0,4,0,5
32,18,0,17,20,21,0,4,0,4
33,18,0,18,20,21,0,3,0,3
34,18,0,19,20,21,0,3,0,3
35,18,0,20,20,21,0,2,0,2
36,18,0,21,20,21,0,2,0,1
37,18,0,22,19,22,0,0,0,0
38,18,1,22,19,22,0,0,0,0
39,18,2,21,19,23,0,0,0,0
40,18,2,20,19,23,0,0,0,0
41,18,3,19,19,24,0,0,0,0
42,18,4,18,19,23,0,0,0,0
43,18,5,17,19,23,0,0,0,0
44,18,6,16,19,22,0,0,0,0
45,18,7,15,19,22,0,0,0,0
46,18,8,14,19,21,0,0,0,0
47,18,9,13,19,21,0,0,0,0
48,18,9,12,19,21,0,0,0,0
49,18,10,11,19,21,0,0,0,0
50,18,10,10,19,21,0,0,0,0
51,18,9,9,19,20,0,0,0,0
52,18,8,8,19,20,0,0,0,0
53,18,7,7,19,20,0,0,0,0
54,18,6,6,19,20,0,0,0,0
55,18,5,5,19,20,0,0,0,0
56,18,4,4,19,20,0,0,0,0
57,18,3,3,19,20,0,0,0,0
58,18,2,2,19,20,0,0,0,0
0,19,0,0,20,19,1,1,1,1
1,19,0,0,20,19,2,2,2,2
2,19,0,0,20,19,3,3,3,3
3,19,0,0,20,19,4,4,4,4
4,19,0,0,20,19,5,5,5,5
5,19,0,0,20,19,6,6,5,6
6,19,0,0,20,19,7,7,4,7
7,19,0,0,20,19,8,8,3,8
8,19,0,0,20,19,9,9,2,9
9,19,0,0,20,19,10,10,2,10
10,19,0,0,20,19,11,11,0,11
11,19,0,0,20,19,12,12,0,12
12,19,0,0,20,19,11,13,0,13
13,19,0,0,20,19,10,14,0,14
14,19,0,0,20,19,9,15,0,15
15,19,0,1,20,19,8,15,0,16
16,19,0,2,20,19,7,15,0,17
17,19,0,3,21,19,6,14,0,18
18,19,0,4,21,19,5,13,0,17
19,19,0,4,21,19,5,12,0,16
20,19,0,5,21,19,4,11,0,15
21,19,0,6,22,19,3,10,0,14
22,19,0,7,23,19,2,9,0,13
23,19,0,8,24,19,0,9,0,12
24,19,0,9,24,19,0,8,0,11
25,19,0,10,24,19,0,7,0,10
26,19,0,11,23,19,0,7,0,10
27,19,0,12,23,19,0,6,0,9
28,19,0,13,22,19,0,5,0,8
29,19,0,14,22,19,0,5,0,7
30,19,0,15,22,19,0,4,0,6
31,19,0,16,21,20,0,4,0,5
32,19,0,17,21,20,0,3,0,4
33,19,0,18,21,20,0,3,0,4
34,19,0,19,21,20,0,2,0,3
35,19,0,20,21,20,0,2,0,2
36,19,0,21,20,21,0,0,0,2
37,19,0,22,20,21,0,0,0,0
38,19,1,22,20,22,0,0,0,0
39,19,2,21,20,22,0,0,0,0
40,19,3,20,20,23,0,0,0,0
41,19,3,19,20,23,0,0,0,0
42,19,4,18,20,23,0,0,0,0
43,19,5,17,20,22,0,0,0,0
44,19,6,16,20,22,0,0,0,0
45,19,7,15,20,21,0,0,0,0
46,19,8,14,20,21,0,0,0,0
47,19,9,13,20,20,0,0,0,0
48,19,10,12,20,20,0,0,0,0
49,19,10,11,20,20,0,0,0,0
50,19,10,10,20,20,0,0,0,0
51,19,9,9,20,20,0,0,0,0
52,19,8,8,20,19,0,0,0,0
53,19,7,7,20,19,0,0,0,0
54,19,6,6,20,19,0,0,0,0
55,19,5,5,20,19,0,0,0,0
56,19,4,4,20,19,0,0,0,0
57,19,3,3,20,19,0,0,0,0
58,19,2,2,20,19,0,0,0,0
0,20,0,0,19,18,1,1,1,1
1,20,0,0,19,18,2,2,2,2
2,20,0,0,19,18,3,3,3,3
3,20,0,0,19,18,4,4,4,4
4,20,0,0,19,18,5,5,5,5
5,20,0,0,19,18,6,6,5,6
6,20,0,0,19,18,7,7,4,7
7,20,0,0,19,18,8,8,3,8
8,20,0,0,19,18,9,9,2,9
9,20,0,0,19,18,10,10,0,10
10,20,0,0,19,18,11,11,0,11
11,20,0,0,19,18,12,12,0,12
12,20,0,0,19,18,11,13,0,13
13,20,0,0,19,18,10,14,0,14
14,20,0,1,19,18,9,15,0,15
15,20,0,1,19,18,8,15,0,16
16,20,0,2,20,18,7,14,0,17
17,20,0,3,20,18,6,14,0,18
18,20,0,4,20,18,6,13,0,17
19,20,0,5,20,18,5,12,0,16
20,20,0,5,21,18,4,11,0,15
21,20,0,6,22,18,3,10,0,14
22,20,0,7,23,18,2,9,0,13
23,20,0,8,24,18,0,8,0,12
24,20,0,9,24,18,0,8,0,11
25,20,0,10,23,18,0,7,0,11
26,20,0,11,23,18,0,6,0,10
27,20,0,12,22,18,0,6,0,9
28,20,0,13,22,18,0,5,0,8
29,20,0,14,21,18,0,4,0,7
30,20,0,15,21,19,0,4,0,6
31,20,0,16,21,19,0,3,0,5
32,20,0,17,20,19,0,3,0,5
33,20,0,18,20,19,0,2,0,4
34,20,0,19,20,19,0,2,0,3
35,20,0,20,20,20,0,0,0,3
36,20,0,21,20,20,0,0,0,2
37,20,1,22,19,21,0,0,0,1
38,20,1,22,19,21,0,0,0,0
39,20,2,21,19,22,0,0,0,0
40,20,3,20,19,22,0,0,0,0
41,20,4,19,19,23,0,0,0,0
42,20,4,18,19,22,0,0,0,0
43,20,5,17,19,22,0,0,0,0
44,20,6,16,19,21,0,0,0,0
45,20,7,15,19,21,0,0,0,0
46,20,8,14,19,20,0,0,0,0
47,20,9,13,19,20,0,0,0,0
48,20,10,12,19,19,0,0,0,0
49,20,11,11,19,19,0,0,0,0
50,20,10,10,19,19,0,0,0,0
51,20,9,9,19,19,0,0,0,0
52,20,8,8,19,19,0,0,0,0
53,20,7,7,19,18,0,0,0,0
54,20,6,6,19,18,0,0,0,0
55,20,5,5,19,18,0,0,0,0
56,20,4,4,19,18,0,0,0,0
57,20,3,3,19,18,0,0,0,0
58,20,2,2,19,18,0,0,0,0
0,21,0,0,18,17,1,1,1,1
1,21,0,0,18,17,2,2,2,2
2,21,0,0,18,17,3,3,3,3
3,21,0,0,18,17,4,4,4,4
4,21,0,0,18,17,5,5,5,5
5,21,0,0,18,17,6,6,5,6
6,21,0,0,18,17,7,7,4,7
7,21,0,0,18,17,8,8,3,8
8,21,0,0,18,17,9,9,2,9
9,21,0,0,18,17,10,10,0,10
10,21,0,0,18,17,11,11,0,11
11,21,0,0,18,17,12,12,0,12
12,21,0,0,18,17,11,13,0,13
13,21,0,1,18,17,10,14,0,14
14,21,0,1,18,17,9,15,0,15
15,21,0,2,19,17,8,15,0,16
16,21,0,2,19,17,7,14,0,17
17,21,0,3,19,17,7,13,0,18
18,21,0,4,19,17,6,13,0,17
19,21,0,5,20,17,5,12,0,16
20,21,0,6,21,17,4,11,0,15
21,21,0,6,22,17,3,10,0,14
22,21,0,7,23,17,2,9,0,13
23,21,0,8,24,17,0,8,0,12
24,21,0,9,24,17,0,7,0,12
25,21,0,10,23,17,0,7,0,11
26,21,0,11,22,17,0,6,0,10
27,21,0,12,22,17,0,5,0,9
28,21,0,13,21,17,0,5,0,8
29,21,0,14,21,18,0,4,0,7
30,21,0,15,20,18,0,3,0,6
31,21,0,16,20,18,0,3,0,6
32,21,0,17,20,18,0,2,0,5
33,21,0,18,19,18,0,2,0,4
34,21,0,19,19,19,0,0,0,4
35,21,0,20,19,19,0,0,0,3
36,21,0,21,19,20,0,0,0,2
37,21,1,22,19,20,0,0,0,2
38,21,2,22,18,21,0,0,0,0
39,21,2,21,18,21,0,0,0,0
40,21,3,20,18,22,0,0,0,0
41,21,4,19,18,22,0,0,0,0
42,21,5,18,18,22,0,0,0,0
43,21,5,17,18,21,0,0,0,0
44,21,6,16,18,21,0,0,0,0
45,21,7,15,18,20,0,0,0,0
46,21,8,14,18,20,0,0,0,0
47,21,9,13,18,19,0,0,0,0
48,21,10,12,18,19,0,0,0,0
49,21,11,11,18,18,0,0,0,0
50,21,10,10,18,18,0,0,0,0
51,21,9,9,18,18,0,0,0,0
52,21,8,8,18,18,0,0,0,0
53,21,7,7,18,18,0,0,0,0
54,21,6,6,18,17,0,0,0,0
55,21,5,5,18,17,0,0,0,0
56,21,4,4,18,17,0,0,0,0
57,21,3,3,18,17,0,0,0,0
58,21,2,2,18,17,0,0,0,0
0,22,0,1,17,16,1,1,1,1
1,22,0,0,17,16,2,2,2,2
2,22,0,0,17,16,3,3,3,3
3,22,0,0,17,16,4,4,4,4
4,22,0,0,17,16,5,5,5,5
5,22,0,0,17,16,6,6,5,6
6,22,0,0,17,16,7,7,4,7
7,22,0,0,17,16,8,8,3,8
8,22,0,0,17,16,9,9,2,9
9,22,0,0,17,16,10,10,0,10
10,22,0,0,17,16,11,11,0,11
11,22,0,0,17,16,12,12,0,12
12,22,0,1,17,16,11,13,0,13
13,22,0,1,17,16,10,14,0,14
14,22,0,2,18,16,9,15,0,15
15,22,0,2,18,16,8,15,0,16
16,22,0,3,18,16,8,14,0,17
17,22,0,3,18,16,7,13,0,18
18,22,0,4,19,16,6,12,0,17
19,22,0,5,20,16,5,12,0,16
20,22,0,6,21,16,4,11,0,15
21,22,0,7,22,16,3,10,0,14
22,22,0,7,23,16,2,9,0,13
23,22,0,8,24,16,1,8,0,13
24,22,0,9,23,16,0,7,0,12
25,22,0,10,23,16,0,6,0,11
26,22,0,11,22,16,0,6,0,10
27,22,0,12,21,16,0,5,0,9
28,22,0,13,21,17,0,4,0,8
29,22,0,14,20,17,0,4,0,7
30,22,0,15,20,17,0,3,0,7
31,22,0,16,19,17,0,2,0,6
32,22,0,17,19,17,0,2,0,5
33,22,0,18,19,18,0,0,0,5
34,22,0,19,18,18,0,0,0,4
35,22,0,20,18,19,0,0,0,3
36,22,1,21,18,19,0,0,0,3
37,22,1,22,18,20,0,0,0,2
38,22,2,22,18,20,0,0,0,1
39,22,3,21,17,21,0,0,0,0
40,22,3,20,17,21,0,0,0,0
41,22,4,19,17,22,0,0,0,0
42,22,5,18,17,21,0,0,0,0
43,22,6,17,17,21,0,0,0,0
44,22,6,16,17,20,0,0,0,0
45,22,7,15,17,20,0,0,0,0
46,22,8,14,17,19,0,0,0,0
47,22,9,13,17,19,0,0,0,0
48,22,10,12,17,18,0,0,0,0
49,22,11,11,17,18,0,0,0,0
50,22,10,10,17,17,0,0,0,0
51,22,9,9,17,17,0,0,0,0
52,22,8,8,17,17,0,0,0,0
53,22,7,7,17,17,0,0,0,0
54,22,6,6,17,17,0,0,0,0
55,22,5,5,17,16,0,0,0,0
56,22,4,4,17,16,0,0,0,0
57,22,3,3,17,16,0,0,0,0
58,22,2,2,17,16,0,0,0,0
0,23,0,2,16,15,1,1,1,1
1,23,0,1,16,15,2,2,2,2
2,23,0,0,16,15,3,3,3,3
3,23,0,0,16,15,4,4,4,4
4,23,0,0,16,15,5,5,5,5
5,23,0,0,16,15,6,6,5,6
6,23,0,0,16,15,7,7,4,7
7,23,0,0,16,15,8,8,3,8
8,23,0,0,16,15,9,9,2,9
9,23,0,0,16,15,10,10,0,10
10,23,0,0,16,15,11,11,0,11
11,23,0,1,16,15,12,12,0,12
12,23,0,1,16,15,11,13,0,13
13,23,0,2,17,15,10,14,0,14
14,23,0,2,17,15,9,15,0,15
15,23,0,3,17,15,9,15,0,16
16,23,0,3,17,15,8,14,0,17
17,23,0,4,18,15,7,13,0,18
18,23,0,4,19,15,6,12,0,17
19,23,0,5,20,15,5,11,0,16
20,23,0,6,21,15,4,11,0,15
21,23,0,7,22,15,3,10,0,14
22,23,0,8,23,15,2,9,0,14
23,23,0,8,24,15,2,8,0,13
24,23,0,9,23,15,0,7,0,12
25,23,0,10,22,15,0,6,0,11
26,23,0,11,22,15,0,5,0,10
27,23,0,12,21,16,0,5,0,9
28,23,0,13,20,16,0,4,0,8
29,23,0,14,20,16,0,3,0,8
30,23,0,15,19,16,0,3,0,7
31,23,0,16,19,16,0,2,0,6
32,23,0,17,18,17,0,0,0,6
33,23,0,18,18,17,0,0,0,5
34,23,0,19,18,18,0,0,0,4
