x, y,not,nand,and,orn,or,andn,nor,xor
11,1,0,6,12,5,12,12,7,12
12,1,0,6,13,5,12,13,6,13
13,1,0,7,14,5,11,14,6,14
14,1,0,7,15,5,10,15,6,15
15,1,0,7,16,5,9,16,5,16
16,1,0,7,17,5,8,17,5,17
17,1,0,7,18,6,7,17,4,18
18,1,0,8,19,6,7,16,4,17
19,1,0,8,20,6,6,16,3,16
20,1,0,9,21,6,5,15,3,15
21,1,0,9,22,6,4,15,3,14
22,1,0,10,23,7,4,14,2,13
23,1,0,10,23,7,3,14,2,12
24,1,0,11,22,8,2,13,2,11
25,1,0,11,21,8,2,13,0,10
26,1,0,12,20,9,0,12,0,9
27,1,0,13,19,9,0,12,0,9
28,1,0,14,18,10,0,11,0,8
29,1,0,15,17,10,0,11,0,7
30,1,0,15,16,11,0,11,0,6
31,1,0,16,15,12,0,10,0,5
32,1,0,17,14,13,0,10,0,4
33,1,0,18,13,14,0,10,0,3
34,1,0,19,12,14,0,9,0,3
35,1,0,20,12,15,0,9,0,2
36,1,0,21,11,16,0,9,0,0
37,1,0,22,10,17,0,9,0,0
38,1,1,22,9,18,0,9,0,0
39,1,2,21,8,19,0,9,0,0
40,1,2,20,8,20,0,9,0,0
41,1,3,19,7,21,0,8,0,0
42,1,4,18,6,20,0,8,0,0
43,1,5,17,6,19,0,8,0,0
44,1,6,16,5,18,0,8,0,0
45,1,7,15,5,17,0,8,0,0
46,1,8,14,4,16,0,8,0,0
47,1,9,13,4,15,0,8,0,0
48,1,9,12,4,14,0,8,0,0
49,1,10,11,3,14,0,8,0,0
50,1,10,10,3,13,0,8,1,0
51,1,9,9,3,12,0,8,2,0
52,1,8,9,3,11,0,8,2,0
53,1,7,8,3,10,0,8,2,0
54,1,6,8,2,10,0,8,3,0
55,1,5,7,2,9,0,8,3,0
56,1,4,7,2,9,0,8,3,0
57,1,3,7,2,8,0,9,4,0
58,1,2,7,3,8,0,9,4,0
0,2,0,6,4,8,1,10,4,1
1,2,0,6,4,7,2,10,5,2
2,2,0,5,4,7,3,10,5,3
3,2,0,5,4,7,4,10,5,4
4,2,0,5,5,7,5,10,6,5
5,2,0,5,6,7,6,10,6,6
6,2,0,5,7,6,7,11,7,7
7,2,0,5,8,6,8,11,8,8
8,2,0,5,9,6,9,11,8,9
9,2,0,5,10,6,10,12,8,10
10,2,0,5,11,6,11,12,7,11
11,2,0,5,12,6,12,12,6,12
12,2,0,6,13,6,12,13,6,13
13,2,0,6,14,6,11,14,5,14
14,2,0,6,15,6,10,15,5,15
15,2,0,6,16,6,9,16,5,16
16,2,0,6,17,6,8,17,4,17
17,2,0,7,18,6,7,17,4,18
18,2,0,7,19,7,6,17,3,17
19,2,0,8,20,7,6,16,3,16
20,2,0,8,21,7,5,16,2,15
21,2,0,9,22,7,4,15,2,14
22,2,0,9,23,7,3,15,2,13
23,2,0,10,23,8,3,14,0,12
24,2,0,10,22,8,2,14,0,11
25,2,0,11,21,9,0,13,0,10
26,2,0,12,20,9,0,13,0,9
27,2,0,13,19,10,0,12,0,8
28,2,0,14,18,10,0,12,0,8
29,2,0,14,17,11,0,12,0,7
30,2,0,15,16,11,0,11,0,6
31,2,0,16,15,12,0,11,0,5
32,2,0,17,14,13,0,11,0,4
33,2,0,18,13,14,0,10,0,3
34,2,0,19,13,15,0,10,0,2
35,2,0,20,12,15,0,10,0,2
36,2,0,21,11,16,0,10,0,0
37,2,0,22,10,17,0,10,0,0
38,2,0,22,9,18,0,10,0,0
39,2,1,21,9,19,0,10,0,0
40,2,2,20,8,20,0,9,0,0
41,2,3,19,7,21,0,9,0,0
42,2,4,18,7,20,0,9,0,0
43,2,5,17,6,19,0,9,0,0
44,2,6,16,6,18,0,9,0,0
45,2,7,15,5,17,0,9,0,0
46,2,8,14,5,16,0,9,0,0
47,2,8,13,5,15,0,9,0,0
48,2,9,12,4,15,0,9,0,0
49,2,10,11,4,14,0,9,0,0
50,2,10,10,4,13,0,9,0,0
51,2,9,9,4,12,0,9,0,0
52,2,8,8,4,11,0,9,1,0
53,2,7,8,3,11,0,9,2,0
54,2,6,7,3,10,0,9,2,0
55,2,5,7,3,10,0,9,2,0
56,2,4,6,3,9,0,9,3,0
57,2,3,6,3,9,0,9,3,0
58,2,2,6,3,8,0,10,4,0
0,3,0,5,4,8,1,11,4,1
1,3,0,5,5,8,2,11,4,2
2,3,0,5,5,8,3,11,4,3
3,3,0,4,5,8,4,11,5,4
4,3,0,4,5,8,5,11,5,5
5,3,0,4,6,7,6,11,6,6
6,3,0,4,7,7,7,11,7,7
7,3,0,4,8,7,8,12,8,8
8,3,0,4,9,7,9,12,8,9
9,3,0,4,10,7,10,12,7,10
10,3,0,4,11,7,11,13,7,11
11,3,0,5,12,7,12,13,6,12
12,3,0,5,13,7,12,13,5,13
13,3,0,5,14,7,11,14,5,14
14,3,0,5,15,7,10,15,4,15
15,3,0,5,16,7,9,16,4,16
16,3,0,6,17,7,8,17,4,17
17,3,0,6,18,7,7,18,3,18
18,3,0,7,19,7,6,17,3,17
19,3,0,7,20,8,5,17,2,16
20,3,0,8,21,8,5,16,2,15
21,3,0,8,22,8,4,16,0,14
22,3,0,9,23,8,3,15,0,13
23,3,0,9,23,8,2,15,0,12
24,3,0,10,22,9,2,14,0,11
25,3,0,11,21,9,0,14,0,10
26,3,0,12,20,10,0,13,0,9
27,3,0,13,19,10,0,13,0,8
28,3,0,13,18,11,0,13,0,7
29,3,0,14,17,11,0,12,0,7
30,3,0,15,16,12,0,12,0,6
31,3,0,16,15,12,0,12,0,5
32,3,0,17,14,13,0,11,0,4
33,3,0,18,14,14,0,11,0,3
34,3,0,19,13,15,0,11,0,2
35,3,0,20,12,16,0,11,0,0
36,3,0,21,11,16,0,11,0,0
37,3,0,22,10,17,0,11,0,0
38,3,0,22,10,18,0,11,0,0
39,3,1,21,9,19,0,10,0,0
40,3,2,20,8,20,0,10,0,0
41,3,3,19,8,21,0,10,0,0
42,3,4,18,7,20,0,10,0,0
43,3,5,17,7,19,0,10,0,0
44,3,6,16,6,18,0,10,0,0
45,3,7,15,6,17,0,10,0,0
46,3,7,14,6,16,0,10,0,0
47,3,8,13,5,16,0,10,0,0
48,3,9,12,5,15,0,10,0,0
49,3,10,11,5,14,0,10,0,0
50,3,10,10,5,13,0,10,0,0
51,3,9,9,5,12,0,10,0,0
52,3,8,8,4,12,0,10,0,0
53,3,7,7,4,11,0,10,0,0
54,3,6,7,4,11,0,10,1,0
55,3,5,6,4,10,0,10,2,0
56,3,4,6,4,10,0,10,2,0
57,3,3,5,4,9,0,10,3,0
58,3,2,5,4,9,0,10,3,0
0,4,0,4,5,9,1,11,3,1
1,4,0,4,5,9,2,12,3,2
2,4,0,4,6,9,3,12,4,3
3,4,0,4,6,9,4,12,4,4
4,4,0,3,6,8,5,12,5,5
5,4,0,3,6,8,6,12,6,6
6,4,0,3,7,8,7,12,7,7
7,4,0,3,8,8,8,12,8,8
8,4,0,3,9,8,9,13,7,9
9,4,0,3,10,8,10,13,7,10
10,4,0,4,11,8,11,13,6,11
11,4,0,4,12,8,12,14,6,12
12,4,0,4,13,8,11,14,5,13
13,4,0,4,14,8,11,14,4,14
14,4,0,4,15,8,10,15,4,15
15,4,0,5,16,8,9,16,3,16
16,4,0,5,17,8,8,17,3,17
17,4,0,6,18,8,7,18,3,18
18,4,0,6,19,8,6,18,2,17
19,4,0,7,20,8,5,17,2,16
20,4,0,7,21,9,4,17,0,15
21,4,0,8,22,9,4,16,0,14
22,4,0,8,23,9,3,16,0,13
23,4,0,9,23,9,2,15,0,12
24,4,0,10,22,9,0,15,0,11
25,4,0,11,21,10,0,14,0,10
26,4,0,12,20,10,0,14,0,9
27,4,0,12,19,11,0,14,0,8
28,4,0,13,18,11,0,13,0,7
29,4,0,14,17,12,0,13,0,6
30,4,0,15,16,12,0,13,0,6
31,4,0,16,15,13,0,12,0,5
32,4,0,17,15,13,0,12,0,4
33,4,0,18,14,14,0,12,0,3
34,4,0,19,13,15,0,12,0,2
35,4,0,20,12,16,0,12,0,0
36,4,0,21,11,17,0,12,0,0
37,4,0,22,11,17,0,12,0,0
38,4,0,22,10,18,0,11,0,0
39,4,1,21,9,19,0,11,0,0
40,4,2,20,9,20,0,11,0,0
41,4,3,19,8,21,0,11,0,0
42,4,4,18,8,20,0,11,0,0
43,4,5,17,7,19,0,11,0,0
44,4,6,16,7,18,0,11,0,0
45,4,6,15,7,17,0,11,0,0
46,4,7,14,6,17,0,11,0,0
47,4,8,13,6,16,0,11,0,0
48,4,9,12,6,15,0,11,0,0
49,4,10,11,6,14,0,11,0,0
50,4,10,10,6,13,0,11,0,0
51,4,9,9,5,13,0,11,0,0
52,4,8,8,5,12,0,11,0,0
53,4,7,7,5,12,0,11,0,0
54,4,6,6,5,11,0,11,0,0
55,4,5,6,5,11,0,11,1,0
56,4,4,5,5,10,0,11,2,0
57,4,3,5,5,10,0,11,2,0
58,4,2,4,5,9,0,11,3,0
0,5,0,3,6,10,1,11,2,1
1,5,0,3,6,10,2,11,3,2
2,5,0,3,6,10,3,11,3,3
3,5,0,3,7,9,4,11,4,4
4,5,0,3,7,9,5,11,5,5
5,5,0,2,7,9,6,11,6,6
6,5,0,2,7,9,7,11,7,7
7,5,0,2,8,9,8,12,7,8
8,5,0,2,9,9,9,12,7,9
9,5,0,3,10,9,10,12,6,10
10,5,0,3,11,9,11,13,6,11
11,5,0,3,12,9,12,13,5,12
12,5,0,3,13,9,11,13,5,13
13,5,0,3,14,9,10,14,4,14
14,5,0,4,15,9,10,15,3,15
15,5,0,4,16,9,9,16,3,16
16,5,0,5,17,9,8,17,2,17
17,5,0,5,18,9,7,18,2,18
18,5,0,6,19,9,6,17,2,17
19,5,0,6,20,9,5,17,0,16
20,5,0,7,21,9,4,16,0,15
21,5,0,7,22,10,3,16,0,14
22,5,0,8,23,10,3,15,0,13
23,5,0,9,23,10,2,15,0,12
24,5,0,10,22,10,0,14,0,11
25,5,0,11,21,10,0,14,0,10
26,5,0,11,20,11,0,13,0,9
27,5,0,12,19,11,0,13,0,8
28,5,0,13,18,12,0,13,0,7
29,5,0,14,17,12,0,12,0,6
30,5,0,15,16,13,0,12,0,5
31,5,0,16,16,13,0,12,0,5
32,5,0,17,15,14,0,11,0,4
33,5,0,18,14,14,0,11,0,3
34,5,0,19,13,15,0,11,0,2
35,5,0,20,12,16,0,11,0,0
36,5,0,21,12,17,0,11,0,0
37,5,0,22,11,18,0,11,0,0
38,5,0,22,10,18,0,11,0,0
39,5,1,21,10,19,0,10,0,0
40,5,2,20,9,20,0,10,0,0
41,5,3,19,9,21,0,10,0,0
42,5,4,18,8,20,0,10,0,0
43,5,5,17,8,19,0,10,0,0
44,5,5,16,8,18,0,10,0,0
45,5,6,15,7,18,0,10,0,0
46,5,7,14,7,17,0,10,0,0
47,5,8,13,7,16,0,10,0,0
48,5,9,12,7,15,0,10,0,0
49,5,10,11,7,14,0,10,0,0
50,5,10,10,6,14,0,10,0,0
51,5,9,9,6,13,0,10,0,0
52,5,8,8,6,13,0,10,0,0
53,5,7,7,6,12,0,10,0,0
54,5,6,6,6,12,0,10,0,0
55,5,5,5,6,11,0,10,0,0
56,5,4,5,6,11,0,10,1,0
57,5,3,4,6,10,0,10,2,0
58,5,2,4,6,10,0,10,2,0
0,6,0,3,7,11,1,10,2,1
1,6,0,2,7,11,2,10,2,2
2,6,0,2,7,10,3,10,3,3
3,6,0,2,7,10,4,10,4,4
4,6,0,2,8,10,5,10,5,5
5,6,0,2,8,10,6,10,6,6
6,6,0,0,8,10,7,11,7,7
7,6,0,1,8,10,8,11,7,8
8,6,0,2,9,10,9,11,6,9
9,6,0,2,10,10,10,12,6,10
10,6,0,2,11,10,11,12,5,11
11,6,0,2,12,10,12,12,5,12
12,6,0,2,13,10,11,13,4,13
13,6,0,3,14,10,10,14,4,14
14,6,0,3,15,10,9,15,3,15
15,6,0,4,16,10,9,16,2,16
16,6,0,4,17,10,8,17,2,17
17,6,0,5,18,10,7,17,0,18
18,6,0,5,19,10,6,17,0,17
19,6,0,6,20,10,5,16,0,16
20,6,0,6,21,10,4,16,0,15
21,6,0,7,22,10,3,15,0,14
22,6,0,8,23,11,2,15,0,13
23,6,0,9,23,11,2,14,0,12
24,6,0,10,22,11,0,14,0,11
25,6,0,10,21,11,0,13,0,10
26,6,0,11,20,11,0,13,0,9
27,6,0,12,19,12,0,12,0,8
28,6,0,13,18,12,0,12,0,7
29,6,0,14,17,13,0,12,0,6
30,6,0,15,17,13,0,11,0,5
31,6,0,16,16,14,0,11,0,4
32,6,0,17,15,14,0,11,0,4
33,6,0,18,14,15,0,10,0,3
34,6,0,19,13,15,0,10,0,2
35,6,0,20,13,16,0,10,0,0
36,6,0,21,12,17,0,10,0,0
37,6,0,22,11,18,0,10,0,0
38,6,0,22,11,19,0,10,0,0
39,6,1,21,10,19,0,10,0,0
40,6,2,20,10,20,0,9,0,0
41,6,3,19,9,21,0,9,0,0
42,6,4,18,9,20,0,9,0,0
43,6,4,17,9,19,0,9,0,0
44,6,5,16,8,19,0,9,0,0
45,6,6,15,8,18,0,9,0,0
46,6,7,14,8,17,0,9,0,0
47,6,8,13,8,16,0,9,0,0
48,6,9,12,8,15,0,9,0,0
49,6,10,11,7,15,0,9,0,0
50,6,10,10,7,14,0,9,0,0
51,6,9,9,7,14,0,9,0,0
52,6,8,8,7,13,0,9,0,0
53,6,7,7,7,13,0,9,0,0
54,6,6,6,7,12,0,9,0,0
55,6,5,5,7,12,0,9,0,0
56,6,4,4,7,11,0,9,0,0
57,6,3,4,7,11,0,9,0,0
58,6,2,3,7,11,0,10,1,0
0,7,0,2,8,12,1,9,1,1
1,7,0,2,8,11,2,9,2,2
2,7,0,0,8,11,3,9,3,3
3,7,0,0,8,11,4,9,4,4
4,7,0,0,8,11,5,9,5,5
5,7,0,0,9,11,6,10,6,6
6,7,0,0,9,11,7,10,7,7
7,7,0,0,9,11,8,10,7,8
8,7,0,0,9,11,9,11,6,9
9,7,0,0,10,11,10,11,5,10
10,7,0,0,11,11,11,11,5,11
11,7,0,1,12,11,12,12,4,12
12,7,0,2,13,11,11,13,4,13
13,7,0,2,14,11,10,14,3,14
14,7,0,3,15,11,9,15,3,15
15,7,0,3,16,11,8,16,2,16
16,7,0,4,17,11,8,17,0,17
17,7,0,4,18,11,7,17,0,18
18,7,0,5,19,11,6,16,0,17
19,7,0,5,20,11,5,16,0,16
20,7,0,6,21,11,4,15,0,15
21,7,0,7,22,11,3,15,0,14
22,7,0,8,23,11,2,14,0,13
23,7,0,9,23,12,0,14,0,12
24,7,0,9,22,12,0,13,0,11
25,7,0,10,21,12,0,13,0,10
26,7,0,11,20,12,0,12,0,9
27,7,0,12,19,12,0,12,0,8
28,7,0,13,18,13,0,11,0,7
29,7,0,14,18,13,0,11,0,6
30,7,0,15,17,14,0,11,0,5
31,7,0,16,16,14,0,10,0,4
32,7,0,17,15,15,0,10,0,3
33,7,0,18,14,15,0,10,0,3
34,7,0,19,14,16,0,9,0,2
35,7,0,20,13,16,0,9,0,0
36,7,0,21,12,17,0,9,0,0
37,7,0,22,12,18,0,9,0,0
38,7,0,22,11,19,0,9,0,0
39,7,1,21,11,20,0,9,0,0
40,7,2,20,10,20,0,9,0,0
41,7,3,19,10,21,0,8,0,0
42,7,3,18,10,20,0,8,0,0
43,7,4,17,9,20,0,8,0,0
44,7,5,16,9,19,0,8,0,0
45,7,6,15,9,18,0,8,0,0
46,7,7,14,9,17,0,8,0,0
47,7,8,13,9,16,0,8,0,0
48,7,9,12,8,16,0,8,0,0
49,7,10,11,8,15,0,8,0,0
50,7,10,10,8,15,0,8,0,0
51,7,9,9,8,14,0,8,0,0
52,7,8,8,8,14,0,8,0,0
53,7,7,7,8,13,0,8,0,0
54,7,6,6,8,13,0,8,0,0
55,7,5,5,8,12,0,8,0,0
56,7,4,4,8,12,0,8,0,0
57,7,3,3,8,12,0,9,0,0
58,7,2,3,8,12,0,9,0,0
0,8,0,2,9,12,1,8,1,1
1,8,0,0,9,12,2,8,2,2
2,8,0,0,9,12,3,8,3,3
3,8,0,0,9,12,4,8,4,4
4,8,0,0,9,12,5,9,5,5
5,8,0,0,9,12,6,9,6,6
6,8,0,0,10,12,7,9,7,7
7,8,0,0,10,12,8,10,6,8
8,8,0,0,10,12,9,10,6,9
9,8,0,0,10,12,10,10,5,10
10,8,0,0,11,12,11,11,4,11
11,8,0,0,12,12,12,12,4,12
12,8,0,1,13,12,11,13,3,13
13,8,0,2,14,12,10,14,3,14
14,8,0,2,15,12,9,15,2,15
15,8,0,3,16,12,8,16,2,16
16,8,0,3,17,12,7,17,0,17
17,8,0,4,18,12,7,16,0,18
18,8,0,4,19,12,6,16,0,17
19,8,0,5,20,12,5,15,0,16
20,8,0,6,21,12,4,15,0,15
21,8,0,7,22,12,3,14,0,14
22,8,0,8,23,12,2,14,0,13
23,8,0,8,23,12,0,13,0,12
24,8,0,9,22,13,0,13,0,11
25,8,0,10,21,13,0,12,0,10
26,8,0,11,20,13,0,12,0,9
27,8,0,12,19,13,0,11,0,8
28,8,0,13,19,13,0,11,0,7
29,8,0,14,18,14,0,10,0,6
30,8,0,15,17,14,0,10,0,5
31,8,0,16,16,15,0,10,0,4
32,8,0,17,15,15,0,9,0,3
33,8,0,18,15,16,0,9,0,2
34,8,0,19,14,16,0,9,0,2
35,8,0,20,13,17,0,8,0,0
36,8,0,21,13,17,0,8,0,0
37,8,0,22,12,18,0,8,0,0
38,8,0,22,12,19,0,8,0,0
39,8,1,21,11,20,0,8,0,0
40,8,2,20,11,21,0,8,0,0
41,8,2,19,11,21,0,8,0,0
42,8,3,18,10,21,0,7,0,0
43,8,4,17,10,20,0,7,0,0
44,8,5,16,10,19,0,7,0,0
45,8,6,15,10,18,0,7,0,0
46,8,7,14,10,17,0,7,0,0
47,8,8,13,9,17,0,7,0,0
48,8,9,12,9,16,0,7,0,0
49,8,10,11,9,16,0,7,0,0
50,8,10,10,9,15,0,7,0,0
51,8,9,9,9,15,0,7,0,0
52,8,8,8,9,14,0,7,0,0
53,8,7,7,9,14,0,7,0,0
54,8,6,6,9,13,0,7,0,0
55,8,5,5,9,13,0,7,0,0
56,8,4,4,9,13,0,8,0,0
57,8,3,3,9,13,0,8,0,0
58,8,2,2,9,13,0,8,0,0
0,9,0,0,10,13,1,7,1,1
1,9,0,0,10,13,2,7,2,2
2,9,0,0,10,13,3,7,3,3
3,9,0,0,10,13,4,8,4,4
4,9,0,0,10,13,5,8,5,5
5,9,0,0,10,13,6,8,6,6
6,9,0,0,10,13,7,9,7,7
7,9,0,0,11,13,8,9,6,8
8,9,0,0,11,13,9,9,5,9
9,9,0,0,11,13,10,10,5,10
10,9,0,0,11,13,11,11,4,11
11,9,0,0,12,13,12,12,3,12
12,9,0,0,13,13,11,13,3,13
13,9,0,1,14,13,10,14,2,14
14,9,0,2,15,13,9,15,2,15
15,9,0,2,16,13,8,16,0,16
16,9,0,3,17,13,7,17,0,17
17,9,0,3,18,13,6,16,0,18
18,9,0,4,19,13,6,15,0,17
19,9,0,5,20,13,5,15,0,16
20,9,0,6,21,13,4,14,0,15
21,9,0,7,22,13,3,14,0,14
22,9,0,7,23,13,2,13,0,13
23,9,0,8,23,13,0,13,0,12
24,9,0,9,22,13,0,12,0,11
25,9,0,10,21,14,0,12,0,10
26,9,0,11,20,14,0,11,0,9
27,9,0,12,20,14,0,11,0,8
28,9,0,13,19,14,0,10,0,7
29,9,0,14,18,14,0,10,0,6
30,9,0,15,17,15,0,9,0,5
31,9,0,16,16,15,0,9,0,4
32,9,0,17,16,16,0,9,0,3
33,9,0,18,15,16,0,8,0,2
34,9,0,19,14,17,0,8,0,0
35,9,0,20,14,17,0,8,0,0
36,9,0,21,13,18,0,7,0,0
37,9,0,22,13,18,0,7,0,0
38,9,0,22,12,19,0,7,0,0
39,9,0,21,12,20,0,7,0,0
40,9,1,20,12,21,0,7,0,0
41,9,2,19,11,22,0,7,0,0
42,9,3,18,11,21,0,7,0,0
43,9,4,17,11,20,0,6,0,0
44,9,5,16,11,19,0,6,0,0
45,9,6,15,11,18,0,6,0,0
46,9,7,14,10,18,0,6,0,0
47,9,8,13,10,17,0,6,0,0
48,9,9,12,10,17,0,6,0,0
49,9,10,11,10,16,0,6,0,0
50,9,10,10,10,16,0,6,0,0
51,9,9,9,10,15,0,6,0,0
52,9,8,8,10,15,0,6,0,0
53,9,7,7,10,14,0,6,0,0
54,9,6,6,10,14,0,6,0,0
55,9,5,5,10,14,0,7,0,0
56,9,4,4,10,14,0,7,0,0
57,9,3,3,10,14,0,7,0,0
58,9,2,2,10,13,0,7,0,0
0,10,0,0,11,14,1,6,1,1
1,10,0,0,11,14,2,6,2,2
2,10,0,0,11,14,3,7,3,3
3,10,0,0,11,14,4,7,4,4
4,10,0,0,11,14,5,7,5,5
5,10,0,0,11,14,6,8,6,6
6,10,0,0,11,14,7,8,6,7
7,10,0,0,11,14,8,8,6,8
8,10,0,0,12,14,9,9,5,9
9,10,0,0,12,14,10,10,4,10
10,10,0,0,12,14,11,11,4,11
11,10,0,0,12,14,12,12,3,12
12,10,0,0,13,14,11,13,2,13
13,10,0,0,14,14,10,14,2,14
14,10,0,1,15,14,9,15,0,15
15,10,0,2,16,14,8,16,0,16
