x, y,count,not,nand,and,orn,or,andn,nor,xor
0,0,1,34,30,17,34,18,7,39,0
1,0,1,33,29,16,33,18,6,38,0
2,0,1,32,29,15,32,18,6,38,0
3,0,1,31,29,14,31,18,6,37,0
4,0,1,30,28,13,30,18,6,37,0
5,0,1,29,28,12,29,18,6,36,0
6,0,1,28,27,11,28,18,5,36,0
7,0,1,27,27,10,27,18,5,36,0
8,0,1,26,27,10,26,18,5,35,0
9,0,1,25,26,9,25,18,5,35,0
10,0,1,24,26,8,24,18,5,35,0
11,0,1,23,26,7,23,18,5,34,0
12,0,1,22,25,6,22,18,5,34,0
13,0,1,21,25,5,21,18,5,34,0
14,0,1,20,25,4,20,18,5,34,0
15,0,1,19,25,3,19,18,5,34,0
16,0,1,18,24,3,18,18,6,34,0
17,0,1,17,24,2,17,18,6,33,0
18,0,2,16,24,0,16,18,6,33,0
19,0,2,15,24,0,15,18,6,33,0
20,0,2,14,24,0,14,18,6,33,0
21,0,2,13,24,0,13,18,7,33,0
22,0,2,12,24,0,13,18,7,33,0
23,0,2,11,24,0,12,18,7,33,0
24,0,2,10,23,0,11,18,8,33,0
25,0,2,9,23,0,10,18,8,33,0
26,0,2,8,23,0,9,18,9,33,0
27,0,2,8,23,0,8,19,9,33,0
28,0,2,7,23,0,8,19,10,33,0
29,0,2,6,23,0,7,19,10,33,0
30,0,1,5,23,0,6,19,11,33,1
31,0,1,4,23,0,6,19,11,33,2
32,0,1,4,23,0,5,19,12,33,2
33,0,1,3,23,0,5,20,13,33,3
34,0,1,2,23,0,4,20,13,33,4
35,0,1,2,23,0,4,20,14,33,4
36,0,2,0,23,0,3,21,15,33,5
37,0,2,0,23,0,3,21,16,33,5
38,0,2,0,23,0,2,21,17,33,6
39,0,2,0,23,0,2,22,17,33,7
40,0,3,0,23,0,0,22,18,33,7
41,0,3,0,23,0,0,23,19,33,8
42,0,3,0,23,0,0,23,20,33,9
43,0,3,0,23,0,0,24,21,33,9
44,0,3,0,23,0,0,24,22,33,10
45,0,3,0,23,0,0,25,23,33,11
46,0,3,0,23,0,0,26,24,33,12
47,0,3,0,23,0,0,26,25,33,12
48,0,3,0,23,0,0,27,26,33,13
49,0,3,0,23,0,0,28,27,33,14
50,0,3,0,23,0,0,28,28,33,15
51,0,3,0,23,0,0,29,29,33,16
52,0,3,0,23,0,0,30,30,33,17
53,0,3,0,23,0,0,31,31,33,18
54,0,3,0,23,0,0,32,32,33,19
55,0,1,1,23,0,1,33,33,33,19
56,0,1,2,23,0,2,33,34,33,20
57,0,1,2,23,0,2,34,35,33,21
58,0,1,3,23,0,3,35,36,33,22
59,0,1,4,23,0,3,36,37,33,23
0,1,1,34,29,17,34,17,6,38,0
1,1,1,33,29,16,33,17,6,38,0
2,1,1,32,28,15,32,17,5,37,0
3,1,1,31,28,14,31,17,5,37,0
4,1,1,30,28,13,30,17,5,36,0
5,1,1,29,27,12,29,17,5,36,0
6,1,1,28,27,11,28,17,5,35,0
7,1,1,27,26,10,27,17,4,35,0
8,1,1,26,26,9,26,17,4,35,0
9,1,1,25,26,9,25,17,4,34,0
10,1,1,24,25,8,24,17,4,34,0
11,1,1,23,25,7,23,17,4,34,0
12,1,1,22,25,6,22,17,4,33,0
13,1,1,21,24,5,21,17,4,33,0
14,1,1,20,24,4,20,17,4,33,0
15,1,1,19,24,3,19,17,5,33,0
16,1,1,18,24,2,18,17,5,33,0
17,1,1,17,23,2,17,17,5,33,0
18,1,2,16,23,0,16,17,5,32,0
19,1,2,15,23,0,15,17,5,32,0
20,1,2,14,23,0,14,17,6,32,0
21,1,2,13,23,0,13,17,6,32,0
22,1,2,12,23,0,12,17,6,32,0
23,1,2,11,23,0,12,17,7,32,0
24,1,2,10,23,0,11,17,7,32,0
25,1,2,9,22,0,10,17,8,32,0
26,1,2,8,22,0,9,18,8,32,0
27,1,2,7,22,0,8,18,9,32,0
28,1,2,7,22,0,7,18,9,32,0
29,1,2,6,22,0,7,18,10,32,0
30,1,2,5,22,0,6,18,10,32,0
31,1,1,4,22,0,5,18,11,32,1
32,1,1,3,22,0,5,19,12,32,2
33,1,1,3,22,0,4,19,12,32,3
34,1,1,2,22,0,4,19,13,32,3
35,1,2,0,22,0,3,20,14,32,4
36,1,2,0,22,0,3,20,15,32,4
37,1,2,0,22,0,2,20,16,32,5
38,1,2,0,22,0,2,21,16,32,6
39,1,3,0,22,0,0,21,17,32,6
40,1,3,0,22,0,0,22,18,32,7
41,1,3,0,22,0,0,22,19,32,8
42,1,3,0,22,0,0,23,20,32,8
43,1,3,0,22,0,0,23,21,32,9
44,1,3,0,22,0,0,24,22,32,10
45,1,3,0,22,0,0,25,23,32,11
46,1,3,0,22,0,0,25,24,32,11
47,1,3,0,22,0,0,26,25,32,12
48,1,3,0,22,0,0,27,26,32,13
49,1,3,0,22,0,0,27,27,32,14
50,1,3,0,22,0,0,28,28,32,15
51,1,3,0,22,0,0,29,29,32,16
52,1,3,0,22,0,0,30,30,32,17
53,1,3,0,22,0,0,31,31,32,18
54,1,3,0,22,0,0,32,32,32,18
55,1,3,0,22,0,0,32,33,32,19
56,1,1,1,22,0,1,33,34,32,20
57,1,1,2,22,0,2,34,35,32,21
58,1,1,3,22,0,2,35,36,32,22
59,1,1,3,22,0,3,36,37,32,23
0,2,1,34,29,17,34,16,5,38,0
1,2,1,33,28,16,33,16,5,37,0
2,2,1,32,28,15,32,16,5,37,0
3,2,1,31,27,14,31,16,4,36,0
4,2,1,30,27,13,30,16,4,36,0
5,2,1,29,27,12,29,16,4,35,0
6,2,1,28,26,11,28,16,4,35,0
7,2,1,27,26,10,27,16,4,34,0
8,2,1,26,25,9,26,16,3,34,0
9,2,1,25,25,8,25,16,3,34,0
10,2,1,24,25,8,24,16,3,33,0
11,2,1,23,24,7,23,16,3,33,0
12,2,1,22,24,6,22,16,3,33,0
13,2,1,21,24,5,21,16,3,32,0
14,2,1,20,23,4,20,16,4,32,0
15,2,1,19,23,3,19,16,4,32,0
16,2,1,18,23,2,18,16,4,32,0
17,2,2,17,23,0,17,16,4,32,0
18,2,2,16,22,0,16,16,4,32,0
19,2,2,15,22,0,15,16,5,31,0
20,2,2,14,22,0,14,16,5,31,0
21,2,2,13,22,0,13,16,5,31,0
22,2,2,12,22,0,12,16,6,31,0
23,2,2,11,22,0,11,16,6,31,0
24,2,2,10,22,0,11,16,7,31,0
25,2,2,9,22,0,10,17,7,31,0
26,2,2,8,21,0,9,17,8,31,0
27,2,2,7,21,0,8,17,8,31,0
28,2,2,6,21,0,7,17,9,31,0
29,2,2,6,21,0,6,17,9,31,0
30,2,2,5,21,0,6,17,10,31,0
31,2,1,4,21,0,5,18,11,31,1
32,2,1,3,21,0,4,18,11,31,2
33,2,1,2,21,0,4,18,12,31,2
34,2,1,2,21,0,3,19,13,31,3
35,2,2,0,21,0,3,19,14,31,3
36,2,2,0,21,0,2,19,15,31,4
37,2,2,0,21,0,2,20,15,31,5
38,2,3,0,21,0,0,20,16,31,5
39,2,3,0,21,0,0,21,17,31,6
40,2,3,0,21,0,0,21,18,31,7
41,2,3,0,21,0,0,22,19,31,7
42,2,3,0,21,0,0,22,20,31,8
43,2,3,0,21,0,0,23,21,31,9
44,2,3,0,21,0,0,24,22,31,10
45,2,3,0,21,0,0,24,23,31,10
46,2,3,0,21,0,0,25,24,31,11
47,2,3,0,21,0,0,26,25,31,12
48,2,3,0,21,0,0,26,26,31,13
49,2,3,0,21,0,0,27,27,31,14
50,2,3,0,21,0,0,28,28,31,15
51,2,3,0,21,0,0,29,29,31,16
52,2,3,0,21,0,0,30,30,31,17
53,2,3,0,21,0,0,31,31,31,17
54,2,3,0,21,0,0,31,32,31,18
55,2,3,0,21,0,0,32,33,31,19
56,2,2,1,21,0,0,33,34,31,20
57,2,1,2,21,0,1,34,35,31,21
58,2,1,2,21,0,2,35,36,31,22
59,2,1,3,21,0,2,36,37,31,23
0,3,1,34,28,17,34,15,5,37,0
1,3,1,33,28,16,33,15,4,37,0
2,3,1,32,27,15,32,15,4,36,0
3,3,1,31,27,14,31,15,4,36,0
4,3,1,30,26,13,30,15,3,35,0
5,3,1,29,26,12,29,15,3,35,0
6,3,1,28,26,11,28,15,3,34,0
7,3,1,27,25,10,27,15,3,34,0
8,3,1,26,25,9,26,15,3,33,0
9,3,1,25,24,8,25,15,2,33,0
10,3,1,24,24,7,24,15,2,33,0
11,3,1,23,24,7,23,15,2,32,0
12,3,1,22,23,6,22,15,2,32,0
13,3,1,21,23,5,21,15,3,32,0
14,3,1,20,23,4,20,15,3,31,0
15,3,1,19,22,3,19,15,3,31,0
16,3,1,18,22,2,18,15,3,31,0
17,3,2,17,22,0,17,15,3,31,0
18,3,2,16,22,0,16,15,4,31,0
19,3,2,15,21,0,15,15,4,31,0
20,3,2,14,21,0,14,15,4,30,0
21,3,2,13,21,0,13,15,5,30,0
22,3,2,12,21,0,12,15,5,30,0
23,3,2,11,21,0,11,15,6,30,0
24,3,2,10,21,0,10,16,6,30,0
25,3,2,9,21,0,10,16,7,30,0
26,3,2,8,21,0,9,16,7,30,0
27,3,2,7,20,0,8,16,8,30,0
28,3,2,6,20,0,7,16,8,30,0
29,3,2,5,20,0,6,16,9,30,0
30,3,2,5,20,0,5,17,10,30,0
31,3,2,4,20,0,5,17,10,30,0
32,3,1,3,20,0,4,17,11,30,1
33,3,1,2,20,0,3,18,12,30,2
34,3,2,0,20,0,3,18,13,30,2
35,3,2,0,20,0,2,18,14,30,3
36,3,2,0,20,0,2,19,14,30,4
37,3,3,0,20,0,0,19,15,30,4
38,3,3,0,20,0,0,20,16,30,5
39,3,3,0,20,0,0,20,17,30,6
40,3,3,0,20,0,0,21,18,30,6
41,3,3,0,20,0,0,21,19,30,7
42,3,3,0,20,0,0,22,20,30,8
43,3,3,0,20,0,0,23,21,30,9
44,3,3,0,20,0,0,23,22,30,9
45,3,3,0,20,0,0,24,23,30,10
46,3,3,0,20,0,0,25,24,30,11
47,3,3,0,20,0,0,25,25,30,12
48,3,3,0,20,0,0,26,26,30,13
49,3,3,0,20,0,0,27,27,30,14
50,3,3,0,20,0,0,28,28,30,15
51,3,3,0,20,0,0,29,29,30,16
52,3,3,0,20,0,0,30,30,30,16
53,3,3,0,20,0,0,30,31,30,17
54,3,3,0,20,0,0,31,32,30,18
55,3,3,0,20,0,0,32,33,30,19
56,3,3,0,20,0,0,33,34,30,20
57,3,2,1,20,0,0,34,35,30,21
58,3,1,2,20,0,1,35,36,30,22
59,3,1,3,20,0,2,35,37,30,23
0,4,1,34,28,17,34,14,4,37,0
1,4,1,33,27,16,33,14,4,36,0
2,4,1,32,27,15,32,14,3,36,0
3,4,1,31,26,14,31,14,3,35,0
4,4,1,30,26,13,30,14,3,35,0
5,4,1,29,25,12,29,14,2,34,0
6,4,1,28,25,11,28,14,2,34,0
7,4,1,27,25,10,27,14,2,33,0
8,4,1,26,24,9,26,14,2,33,0
9,4,1,25,24,8,25,14,2,32,0
10,4,2,24,23,7,24,14,0,32,0
11,4,1,23,23,6,23,14,1,32,0
