task,x,y,update,rep,environment
1,29,27,983,1705,50013
2,23,6,2808,1705,50013
3,3,23,4416,1705,50013
4,10,15,3073,1705,50013
5,30,16,4293,1705,50013
6,18,43,5066,1705,50013
7,24,37,5985,1705,50013
8,40,39,11291,1705,50013
9,36,54,10011,1705,50013
1,2,12,1199,1772,50013
2,15,36,2494,1772,50013
3,12,5,5869,1772,50013
4,18,40,2723,1772,50013
5,29,36,3024,1772,50013
6,55,18,4593,1772,50013
7,19,18,5956,1772,50013
8,47,38,47766,1772,50013
9,22,17,30632,1772,50013
1,43,23,1981,1191,50047
2,41,16,2360,1191,50047
3,40,33,10768,1191,50047
4,35,14,4090,1191,50047
5,9,58,6143,1191,50047
6,19,54,4653,1191,50047
7,44,8,11385,1191,50047
9,35,18,42563,1191,50047
1,18,5,1025,1108,50047
2,45,25,1587,1108,50047
3,20,28,9571,1108,50047
4,26,25,2593,1108,50047
5,55,9,8616,1108,50047
6,57,48,9104,1108,50047
7,13,18,9686,1108,50047
1,54,0,1588,1321,50061
2,20,4,1421,1321,50061
3,14,13,2696,1321,50061
4,23,0,1863,1321,50061
5,13,19,2758,1321,50061
6,16,2,2493,1321,50061
7,17,5,2963,1321,50061
8,24,10,49280,1321,50061
9,12,17,20636,1321,50061
1,33,14,1339,13013,50061
2,21,57,1973,13013,50061
3,12,2,3309,13013,50061
4,16,20,2434,13013,50061
5,35,14,3611,13013,50061
6,31,13,3687,13013,50061
7,20,18,6476,13013,50061
8,31,9,3874,13013,50061
9,35,25,4137,13013,50061
1,28,49,1400,1778,50013
2,57,56,1446,1778,50013
3,26,46,5951,1778,50013
4,39,21,4395,1778,50013
5,37,31,4859,1778,50013
6,16,56,5825,1778,50013
7,19,54,5847,1778,50013
8,29,40,15016,1778,50013
9,45,36,15043,1778,50013
1,3,55,1269,1796,50013
2,0,54,1410,1796,50013
3,18,38,5354,1796,50013
4,54,38,2964,1796,50013
5,22,9,6276,1796,50013
6,42,39,5692,1796,50013
7,22,33,6330,1796,50013
8,34,30,13175,1796,50013
9,25,7,15869,1796,50013
1,3,37,630,1102,50047
2,30,34,611,1102,50047
3,11,10,6589,1102,50047
4,43,49,932,1102,50047
5,8,48,9377,1102,50047
6,14,8,4604,1102,50047
7,11,12,31094,1102,50047
8,29,43,39602,1102,50047
9,24,41,39648,1102,50047
1,22,24,533,1175,50047
2,33,54,2435,1175,50047
3,6,20,8088,1175,50047
4,25,21,1740,1175,50047
5,41,7,19010,1175,50047
6,27,59,4211,1175,50047
7,40,19,28254,1175,50047
9,0,10,90624,1175,50047
1,40,38,1190,16002,50065
2,34,34,1299,16002,50065
3,41,36,3880,16002,50065
4,13,1,1790,16002,50065
5,18,40,4162,16002,50065
6,28,54,4573,16002,50065
7,42,21,5452,16002,50065
8,43,35,6438,16002,50065
9,37,47,6893,16002,50065
1,54,24,1323,1605,50065
2,33,29,1121,1605,50065
3,8,12,2753,1605,50065
4,17,19,1670,1605,50065
5,27,25,2986,1605,50065
6,31,51,3486,1605,50065
7,36,45,5481,1605,50065
8,33,41,12967,1605,50065
9,47,46,12517,1605,50065
1,25,17,911,1672,50065
2,31,18,1332,1672,50065
3,24,27,4298,1672,50065
4,28,8,1131,1672,50065
5,33,42,2393,1672,50065
6,31,32,2856,1672,50065
7,33,32,3612,1672,50065
8,26,29,19361,1672,50065
9,28,19,19316,1672,50065
1,1,38,1953,1499,50062
2,12,39,2006,1499,50062
3,47,59,22256,1499,50062
4,20,9,7207,1499,50062
5,54,13,23388,1499,50062
6,8,22,10509,1499,50062
7,47,34,26480,1499,50062
1,0,56,953,1477,50062
2,55,12,1993,1477,50062
3,26,30,11563,1477,50062
4,49,15,5192,1477,50062
5,46,8,5537,1477,50062
6,50,13,5773,1477,50062
7,51,13,5003,1477,50062
1,52,50,1364,1094,50060
2,54,48,1912,1094,50060
3,30,29,3336,1094,50060
4,22,34,2673,1094,50060
5,18,49,3300,1094,50060
6,28,40,4411,1094,50060
7,32,33,4480,1094,50060
8,26,30,26218,1094,50060
9,40,34,27191,1094,50060
1,3,33,2291,1100,50060
2,1,34,2525,1100,50060
3,27,6,5994,1100,50060
4,8,41,2761,1100,50060
5,14,40,5471,1100,50060
6,1,35,3222,1100,50060
7,23,38,8945,1100,50060
8,28,37,8826,1100,50060
9,41,32,40505,1100,50060
1,47,16,1744,1400,50062
2,13,41,1197,1400,50062
3,9,9,10556,1400,50062
4,14,49,2322,1400,50062
5,8,2,8234,1400,50062
6,54,17,9092,1400,50062
7,37,4,18832,1400,50062
8,19,3,25930,1400,50062
9,35,17,28934,1400,50062
1,8,49,2237,1287,50048
2,25,37,1160,1287,50048
3,33,20,4671,1287,50048
4,19,8,3922,1287,50048
5,20,11,3959,1287,50048
6,22,8,3865,1287,50048
7,38,36,4839,1287,50048
8,14,12,12560,1287,50048
9,12,23,57182,1287,50048
1,44,5,1030,1214,50048
2,5,5,1919,1214,50048
3,57,41,4507,1214,50048
4,45,6,3633,1214,50048
5,37,7,4836,1214,50048
6,45,30,4665,1214,50048
7,36,13,5299,1214,50048
8,18,45,7327,1214,50048
9,32,21,22132,1214,50048
1,23,21,1088,16008,50065
2,56,30,1614,16008,50065
3,22,25,4831,16008,50065
4,17,0,4062,16008,50065
5,31,33,5702,16008,50065
6,20,26,5533,16008,50065
7,19,15,6252,16008,50065
8,27,20,15017,16008,50065
9,27,30,26272,16008,50065
1,53,52,1151,1678,50065
2,46,32,1400,1678,50065
3,18,19,2966,1678,50065
4,33,25,2408,1678,50065
5,22,32,3895,1678,50065
6,21,21,2677,1678,50065
7,28,22,3010,1678,50065
8,28,43,6135,1678,50065
9,22,24,12818,1678,50065
1,52,24,1049,1070,50060
2,7,58,1117,1070,50060
3,30,43,4364,1070,50060
4,38,30,3121,1070,50060
5,18,28,3834,1070,50060
6,18,28,5710,1070,50060
7,6,48,4311,1070,50060
8,28,33,11828,1070,50060
9,28,42,10122,1070,50060
1,36,40,1192,1493,50062
2,33,26,1210,1493,50062
3,31,56,9018,1493,50062
4,59,55,2741,1493,50062
5,36,29,7885,1493,50062
6,52,37,7457,1493,50062
7,38,10,13691,1493,50062
8,59,3,14377,1493,50062
9,39,7,13762,1493,50062
1,32,12,1137,1007,50060
2,40,57,1571,1007,50060
3,57,27,2831,1007,50060
4,56,19,2548,1007,50060
5,56,31,3008,1007,50060
6,48,33,3184,1007,50060
7,10,22,3181,1007,50060
8,36,32,18506,1007,50060
9,27,42,14182,1007,50060
1,5,57,1615,1313,50061
2,6,58,2357,1313,50061
3,15,33,5642,1313,50061
4,0,54,2685,1313,50061
5,16,8,3398,1313,50061
6,27,1,4648,1313,50061
7,19,9,3287,1313,50061
8,21,19,48520,1313,50061
9,20,25,48517,1313,50061
1,7,33,1348,1740,50013
2,52,3,2487,1740,50013
3,50,11,4082,1740,50013
4,22,29,2264,1740,50013
5,12,33,3321,1740,50013
6,24,8,5395,1740,50013
7,15,54,6062,1740,50013
8,54,29,12384,1740,50013
9,54,29,12385,1740,50013
1,27,16,585,1737,50013
2,54,10,1165,1737,50013
3,12,17,2338,1737,50013
4,49,11,1621,1737,50013
5,11,33,2585,1737,50013
6,27,35,2389,1737,50013
7,21,20,2509,1737,50013
8,10,8,11155,1737,50013
9,18,11,12522,1737,50013
1,6,2,896,1147,50047
2,25,54,2913,1147,50047
3,57,59,5662,1147,50047
4,13,51,3875,1147,50047
5,15,47,8238,1147,50047
6,56,58,4931,1147,50047
7,38,20,16244,1147,50047
8,32,50,74969,1147,50047
9,8,29,52880,1147,50047
1,48,25,1414,1130,50047
2,29,47,1674,1130,50047
3,11,10,4319,1130,50047
4,48,7,2193,1130,50047
5,0,2,5295,1130,50047
6,49,29,10753,1130,50047
7,49,1,9839,1130,50047
8,51,20,40760,1130,50047
9,55,44,34567,1130,50047
1,39,1,1503,15064,50063
2,48,43,2570,15064,50063
3,9,33,3644,15064,50063
4,53,38,2592,15064,50063
5,9,23,3634,15064,50063
6,4,26,4095,15064,50063
7,11,39,3916,15064,50063
8,19,16,10201,15064,50063
9,1,3,9561,15064,50063
1,52,58,2224,15013,50063
2,56,17,1430,15013,50063
3,19,12,3181,15013,50063
4,34,31,2616,15013,50063
5,10,19,5482,15013,50063
6,21,17,4172,15013,50063
7,20,20,5898,15013,50063
8,16,19,6838,15013,50063
9,16,19,6839,15013,50063
1,45,25,1290,1048,50060
2,41,19,1093,1048,50060
3,51,32,1792,1048,50060
4,44,18,1224,1048,50060
5,40,2,2308,1048,50060
6,52,33,1839,1048,50060
7,39,29,1911,1048,50060
8,34,22,4320,1048,50060
9,33,23,3688,1048,50060
1,3,13,1903,1432,50062
2,45,50,4186,1432,50062
3,58,24,12959,1432,50062
4,24,33,6418,1432,50062
5,38,7,11128,1432,50062
6,59,18,7112,1432,50062
7,0,23,22071,1432,50062
1,21,53,1057,1445,50062
2,46,11,1630,1445,50062
3,52,59,9503,1445,50062
4,49,23,8863,1445,50062
5,56,14,9479,1445,50062
6,50,24,8081,1445,50062
7,40,8,12384,1445,50062
8,22,9,82351,1445,50062
9,46,40,99873,1445,50062
1,19,25,1802,1640,50065
2,22,31,1785,1640,50065
3,46,6,2419,1640,50065
4,2,28,2933,1640,50065
5,35,12,3831,1640,50065
6,30,17,3368,1640,50065
7,43,15,3944,1640,50065
