task,x,y,update,rep,environment
8,32,39,30364,1640,50065
9,26,46,8177,1640,50065
1,52,5,1111,1637,50065
2,49,6,921,1637,50065
3,24,32,2851,1637,50065
4,55,8,1494,1637,50065
5,41,30,2321,1637,50065
6,29,36,2715,1637,50065
7,54,49,3946,1637,50065
8,25,45,38174,1637,50065
9,28,52,38157,1637,50065
1,21,42,1019,1035,50060
2,14,46,919,1035,50060
3,56,51,1948,1035,50060
4,14,42,1271,1035,50060
5,16,32,1971,1035,50060
6,16,38,2358,1035,50060
7,53,22,2905,1035,50060
8,26,22,6563,1035,50060
9,33,34,7974,1035,50060
1,20,33,933,1042,50060
2,5,30,1405,1042,50060
3,15,18,3093,1042,50060
4,30,50,1738,1042,50060
5,14,23,2393,1042,50060
6,9,21,2451,1042,50060
7,16,23,2421,1042,50060
8,24,50,7095,1042,50060
9,28,29,5188,1042,50060
1,9,42,822,1438,50062
2,18,32,2423,1438,50062
3,24,1,8074,1438,50062
4,35,1,4329,1438,50062
5,46,3,7319,1438,50062
6,22,48,5559,1438,50062
7,41,22,9647,1438,50062
8,12,16,58505,1438,50062
1,11,9,763,1567,50063
2,14,21,480,1567,50063
3,24,30,1616,1567,50063
4,5,13,1194,1567,50063
5,28,27,1378,1567,50063
6,6,20,1495,1567,50063
7,29,33,1893,1567,50063
8,26,16,3258,1567,50063
9,29,24,4750,1567,50063
1,6,8,1259,1589,50063
2,20,58,1377,1589,50063
3,19,57,2337,1589,50063
4,32,28,1785,1589,50063
5,7,34,2696,1589,50063
6,35,35,3225,1589,50063
7,28,3,3926,1589,50063
8,22,16,22808,1589,50063
9,18,19,18354,1589,50063
1,30,54,1546,1785,50013
2,24,53,2301,1785,50013
3,16,22,7214,1785,50013
4,30,44,4341,1785,50013
5,30,28,6713,1785,50013
6,14,4,3645,1785,50013
7,6,33,10551,1785,50013
8,44,33,15528,1785,50013
9,34,47,55250,1785,50013
1,25,50,1126,1111,50047
2,1,25,1843,1111,50047
3,4,26,2989,1111,50047
4,24,7,5055,1111,50047
5,4,14,15976,1111,50047
6,53,53,5988,1111,50047
7,34,15,11974,1111,50047
8,16,53,73538,1111,50047
9,18,34,61860,1111,50047
1,48,6,1775,1166,50047
2,48,56,2275,1166,50047
3,31,6,5576,1166,50047
4,14,46,4200,1166,50047
5,43,6,5530,1166,50047
6,37,4,5463,1166,50047
7,39,5,5418,1166,50047
8,22,21,6974,1166,50047
9,36,2,17257,1166,50047
1,0,36,973,1188,50047
2,3,57,1253,1188,50047
3,41,20,9020,1188,50047
4,31,45,5327,1188,50047
5,51,53,7177,1188,50047
6,7,30,12981,1188,50047
7,5,46,20539,1188,50047
8,50,24,48049,1188,50047
9,36,20,47889,1188,50047
1,26,1,1275,15032,50063
2,43,35,1442,15032,50063
3,27,3,2837,15032,50063
4,32,34,2085,15032,50063
5,15,30,2272,15032,50063
6,13,9,2812,15032,50063
7,27,35,2955,15032,50063
8,25,16,23849,15032,50063
9,35,13,15590,15032,50063
1,1,20,1216,13000,50061
2,40,15,2509,13000,50061
3,28,23,3531,13000,50061
4,44,9,3110,13000,50061
5,9,10,4821,13000,50061
6,18,23,3843,13000,50061
7,9,15,4046,13000,50061
8,28,14,10080,13000,50061
9,14,5,10217,13000,50061
1,28,16,563,15045,50063
2,58,45,2445,15045,50063
3,37,40,3147,15045,50063
4,44,44,2772,15045,50063
5,17,21,4464,15045,50063
6,22,49,3323,15045,50063
7,12,20,3706,15045,50063
8,17,30,20421,15045,50063
9,25,13,6642,15045,50063
1,12,25,1985,1338,50061
2,12,22,1696,1338,50061
3,17,26,2817,1338,50061
4,18,16,2114,1338,50061
5,21,10,2739,1338,50061
6,12,18,3263,1338,50061
7,12,29,2039,1338,50061
8,25,15,36068,1338,50061
9,19,16,37837,1338,50061
1,38,20,1295,15038,50063
2,5,25,1502,15038,50063
3,12,7,2491,15038,50063
4,16,47,2550,15038,50063
5,17,6,2840,15038,50063
6,17,26,2656,15038,50063
7,7,30,2788,15038,50063
8,26,14,7391,15038,50063
9,27,17,7333,15038,50063
1,49,49,1050,1345,50061
2,15,22,2758,1345,50061
3,31,16,6831,1345,50061
4,7,52,2643,1345,50061
5,24,10,4740,1345,50061
6,16,26,5129,1345,50061
7,19,11,4968,1345,50061
8,18,8,29989,1345,50061
1,20,34,696,1332,50061
2,44,15,829,1332,50061
3,9,19,1949,1332,50061
4,48,17,779,1332,50061
5,5,6,3545,1332,50061
6,12,42,1704,1332,50061
7,17,2,1946,1332,50061
8,21,21,15028,1332,50061
9,32,27,18282,1332,50061
1,28,30,904,1761,50013
2,38,46,1032,1761,50013
3,15,30,2147,1761,50013
4,40,45,1152,1761,50013
5,14,14,2050,1761,50013
6,41,19,3522,1761,50013
7,47,28,2368,1761,50013
8,28,38,49268,1761,50013
9,33,53,48423,1761,50013
1,29,40,753,1182,50047
2,58,35,1461,1182,50047
3,7,11,9212,1182,50047
4,11,11,3489,1182,50047
5,22,17,10567,1182,50047
6,19,1,3994,1182,50047
7,43,43,50998,1182,50047
8,58,29,88720,1182,50047
9,19,41,93879,1182,50047
1,26,1,581,1546,50063
2,51,58,1702,1546,50063
3,29,28,2923,1546,50063
4,58,12,1974,1546,50063
5,12,23,3053,1546,50063
6,9,22,3030,1546,50063
7,10,21,3058,1546,50063
8,33,21,14689,1546,50063
9,28,23,3373,1546,50063
1,7,46,1460,1685,50065
2,8,32,2568,1685,50065
3,28,23,3114,1685,50065
4,23,26,2613,1685,50065
5,25,16,2924,1685,50065
6,25,25,2892,1685,50065
7,42,54,4809,1685,50065
8,20,43,4084,1685,50065
9,44,49,5213,1685,50065
1,59,37,1119,1419,50062
2,4,50,889,1419,50062
3,49,10,6533,1419,50062
4,56,21,1871,1419,50062
5,17,40,7269,1419,50062
6,49,10,6533,1419,50062
7,39,21,7445,1419,50062
8,23,50,40351,1419,50062
9,11,28,53219,1419,50062
1,5,59,1130,1480,50062
2,3,57,1679,1480,50062
3,12,36,7347,1480,50062
4,20,1,3657,1480,50062
5,57,13,8474,1480,50062
6,16,55,6193,1480,50062
7,52,26,11284,1480,50062
8,39,12,26692,1480,50062
9,35,17,27575,1480,50062
1,51,4,1064,1063,50060
2,52,1,1366,1063,50060
3,37,26,3142,1063,50060
4,53,0,1559,1063,50060
5,57,0,1743,1063,50060
6,33,13,2470,1063,50060
7,29,49,3127,1063,50060
8,33,26,18232,1063,50060
9,22,19,20917,1063,50060
1,45,5,1158,1014,50060
2,2,4,1702,1014,50060
3,31,29,3974,1014,50060
4,6,3,1977,1014,50060
5,11,27,2469,1014,50060
6,12,21,2518,1014,50060
7,45,30,3815,1014,50060
8,33,16,25246,1014,50060
9,43,29,32059,1014,50060
1,10,1,970,10000,50060
2,17,2,720,10000,50060
3,7,8,3452,10000,50060
4,23,6,1111,10000,50060
5,30,35,1586,10000,50060
6,30,37,2712,10000,50060
7,22,32,2650,10000,50060
8,12,21,16202,10000,50060
9,13,19,15372,10000,50060
1,2,27,1483,1270,50048
2,3,30,1604,1270,50048
3,53,23,3264,1270,50048
4,58,31,2679,1270,50048
5,25,30,4433,1270,50048
6,54,16,3196,1270,50048
7,45,12,3443,1270,50048
8,35,16,87707,1270,50048
9,47,20,62847,1270,50048
1,44,22,1963,1207,50048
2,18,34,2808,1207,50048
3,14,51,6070,1207,50048
4,11,58,2431,1207,50048
5,37,13,4281,1207,50048
6,22,54,4211,1207,50048
7,37,18,5528,1207,50048
8,17,29,12611,1207,50048
9,29,32,12605,1207,50048
1,0,34,659,1300,50048
2,29,34,3884,1300,50048
3,21,8,10030,1300,50048
4,18,38,3075,1300,50048
5,2,48,5778,1300,50048
6,6,7,10413,1300,50048
7,32,49,8929,1300,50048
8,56,24,25380,1300,50048
9,48,27,49799,1300,50048
1,33,12,602,1294,50048
2,39,12,1075,1294,50048
3,51,4,2402,1294,50048
4,41,11,1169,1294,50048
5,38,15,1359,1294,50048
6,31,16,1843,1294,50048
7,41,44,2822,1294,50048
8,29,21,10162,1294,50048
9,44,49,12237,1294,50048
1,20,0,1667,1616,50065
2,55,25,2247,1616,50065
3,25,26,5203,1616,50065
4,25,17,3903,1616,50065
5,16,30,5005,1616,50065
6,56,19,2623,1616,50065
7,35,19,5348,1616,50065
8,33,34,6053,1616,50065
9,23,30,13852,1616,50065
1,20,39,988,16011,50065
2,39,43,1368,16011,50065
3,48,58,6286,16011,50065
4,20,46,3010,16011,50065
5,28,8,5725,16011,50065
6,16,43,2412,16011,50065
7,47,58,5968,16011,50065
8,34,33,22582,16011,50065
9,43,37,11387,16011,50065
1,4,49,749,1087,50060
2,2,34,1151,1087,50060
3,15,37,1636,1087,50060
4,6,44,1053,1087,50060
5,6,48,1337,1087,50060
6,26,53,1474,1087,50060
7,9,29,2136,1087,50060
8,29,27,5752,1087,50060
9,31,27,5752,1087,50060
1,8,7,292,1464,50062
2,31,31,2726,1464,50062
3,26,36,8879,1464,50062
4,2,51,5119,1464,50062
5,26,23,10281,1464,50062
6,31,37,7347,1464,50062
7,47,12,16816,1464,50062
8,51,13,13927,1464,50062
9,30,36,63668,1464,50062
1,48,59,1017,1413,50062
2,5,4,1499,1413,50062
3,15,35,5846,1413,50062
4,26,16,4332,1413,50062
5,43,11,3030,1413,50062
6,50,4,7717,1413,50062
7,41,17,10534,1413,50062
8,14,13,28930,1413,50062
9,12,25,29467,1413,50062
1,41,2,1208,1069,50060
2,41,2,1729,1069,50060
3,27,11,2655,1069,50060
4,39,5,2142,1069,50060
5,33,23,2721,1069,50060
6,28,19,2728,1069,50060
7,36,24,2787,1069,50060
8,39,31,40414,1069,50060
9,25,44,33662,1069,50060
1,30,21,632,1393,50061
2,46,56,1252,1393,50061
3,13,22,5045,1393,50061
4,52,21,1880,1393,50061
5,32,15,2636,1393,50061
6,45,32,3205,1393,50061
7,28,23,2904,1393,50061
8,17,13,8273,1393,50061
9,35,22,8219,1393,50061
1,41,35,1169,15000,50063
2,21,40,1581,15000,50063
3,19,39,2921,15000,50063
4,16,30,1950,15000,50063
5,16,19,2874,15000,50063
6,2,33,3190,15000,50063
7,10,23,3417,15000,50063
8,33,18,14304,15000,50063
9,22,9,7256,15000,50063
1,43,22,1070,1154,50047
2,45,19,949,1154,50047
3,14,14,8374,1154,50047
4,39,14,5907,1154,50047
5,5,13,9121,1154,50047
6,18,14,7907,1154,50047
7,33,4,45198,1154,50047
8,48,28,68345,1154,50047
9,51,39,96213,1154,50047
1,51,49,1137,1123,50047
2,45,13,2160,1123,50047
3,9,31,4112,1123,50047
4,16,8,3187,1123,50047
5,12,18,19625,1123,50047
6,6,40,2207,1123,50047
7,16,37,27100,1123,50047
8,45,28,52139,1123,50047
9,35,43,54673,1123,50047
1,53,29,1867,12027,50048
2,11,13,1696,12027,50048
3,28,18,2188,12027,50048
4,44,20,2650,12027,50048
5,36,14,3293,12027,50048
6,29,15,2606,12027,50048
7,37,16,2930,12027,50048
8,34,21,11493,12027,50048
9,49,31,24286,12027,50048
1,16,4,1006,1759,50013
2,16,47,1491,1759,50013
3,3,20,4720,1759,50013
4,45,48,3850,1759,50013
5,6,40,4435,1759,50013
6,35,54,2634,1759,50013
7,37,46,4269,1759,50013
8,51,48,64620,1759,50013
1,0,50,797,1129,50047
2,32,51,1543,1129,50047
3,25,1,6909,1129,50047
4,25,10,2368,1129,50047
5,30,11,11257,1129,50047
6,31,6,3707,1129,50047
7,39,20,10733,1129,50047
8,58,53,65240,1129,50047
1,1,21,905,1753,50013
2,18,35,1042,1753,50013
3,33,32,2427,1753,50013
4,55,28,1489,1753,50013
5,6,25,2126,1753,50013
6,0,16,2024,1753,50013
7,31,13,2707,1753,50013
8,49,40,24369,1753,50013
9,10,11,19751,1753,50013
1,13,28,1404,1724,50013
2,46,30,1451,1724,50013
3,40,50,3788,1724,50013
4,53,38,2429,1724,50013
5,32,6,3360,1724,50013
6,40,53,3864,1724,50013
7,41,45,3684,1724,50013
8,38,54,5519,1724,50013
9,10,23,5507,1724,50013
1,0,34,659,1300,50061
2,8,19,1914,1300,50061
3,8,23,3623,1300,50061
4,20,11,2957,1300,50061
5,15,21,4776,1300,50061
6,40,25,2941,1300,50061
7,4,23,4126,1300,50061
8,15,14,5129,1300,50061
9,43,31,14473,1300,50061
1,20,16,1535,1600,50063
2,18,7,1765,1600,50063
3,28,7,1956,1600,50063
4,25,19,1677,1600,50063
5,12,19,1821,1600,50063
6,1,20,2524,1600,50063
7,2,14,2518,1600,50063
8,32,17,10553,1600,50063
9,19,18,7720,1600,50063
1,34,16,999,1377,50061
2,49,31,876,1377,50061
3,0,36,3041,1377,50061
4,33,23,1507,1377,50061
5,17,30,2497,1377,50061
6,11,15,4236,1377,50061
7,20,10,4405,1377,50061
8,21,41,10386,1377,50061
9,20,10,6569,1377,50061
1,31,5,1310,1235,50048
2,14,35,2072,1235,50048
3,54,32,3112,1235,50048
4,28,34,2412,1235,50048
5,27,8,2741,1235,50048
6,54,31,3344,1235,50048
7,16,16,3098,1235,50048
8,17,16,20763,1235,50048
9,32,28,19858,1235,50048
1,15,24,1069,1242,50048
2,2,14,784,1242,50048
3,29,32,2714,1242,50048
4,13,18,1850,1242,50048
5,53,26,3134,1242,50048
6,11,36,2758,1242,50048
7,50,28,3454,1242,50048
8,40,33,16011,1242,50048
9,17,17,28476,1242,50048
1,44,1,972,1026,50060
2,17,2,1371,1026,50060
3,20,45,3732,1026,50060
4,51,1,1831,1026,50060
5,37,28,4147,1026,50060
6,16,47,3613,1026,50060
7,40,22,3959,1026,50060
8,30,36,5120,1026,50060
9,42,28,7832,1026,50060
1,58,41,2028,1051,50060
2,39,12,2359,1051,50060
3,36,27,10535,1051,50060
4,33,10,2723,1051,50060
5,28,15,2930,1051,50060
6,5,27,6963,1051,50060
7,35,31,10511,1051,50060
8,44,33,45968,1051,50060
9,32,21,67368,1051,50060
1,29,4,716,1659,50065
2,51,27,1330,1659,50065
3,38,22,2334,1659,50065
4,43,1,1539,1659,50065
5,40,10,2373,1659,50065
6,48,32,3538,1659,50065
7,30,41,4305,1659,50065
8,28,40,9451,1659,50065
9,25,36,12160,1659,50065
1,22,40,829,1421,50062
2,47,19,1718,1421,50062
3,28,36,5486,1421,50062
4,59,5,3405,1421,50062
5,30,37,10362,1421,50062
6,35,57,5661,1421,50062
7,3,31,6140,1421,50062
8,46,24,7290,1421,50062
1,18,39,596,1456,50062
2,8,51,1822,1456,50062
3,37,19,11997,1456,50062
4,32,9,1300,1456,50062
5,50,4,18459,1456,50062
6,50,36,9566,1456,50062
7,34,22,8387,1456,50062
8,38,27,30337,1456,50062
1,9,21,1574,1653,50065
2,42,20,1338,1653,50065
3,38,42,5472,1653,50065
4,22,21,2744,1653,50065
5,21,28,4107,1653,50065
6,33,32,5308,1653,50065
7,48,14,5058,1653,50065
8,26,35,38507,1653,50065
9,28,20,25832,1653,50065
1,29,54,1289,1624,50065
2,54,7,2044,1624,50065
3,27,6,4551,1624,50065
4,19,13,3219,1624,50065
5,37,26,4550,1624,50065
6,23,9,4919,1624,50065
7,44,58,4717,1624,50065
8,11,33,31274,1624,50065
9,30,52,23701,1624,50065
1,21,58,1015,1590,50063
2,5,7,762,1590,50063
3,29,15,3339,1590,50063
4,1,9,955,1590,50063
5,18,19,1063,1590,50063
6,27,15,2420,1590,50063
7,33,23,2408,1590,50063
8,33,21,12881,1590,50063
9,27,15,12877,1590,50063
1,58,23,1172,1800,50013
2,4,23,1978,1800,50013
3,41,14,2740,1800,50013
4,5,31,2960,1800,50013
5,10,14,3793,1800,50013
6,3,27,3642,1800,50013
7,11,28,2866,1800,50013
8,15,17,6726,1800,50013
9,20,29,6344,1800,50013
1,37,16,955,1232,50048
2,11,8,281,1232,50048
3,57,8,1685,1232,50048
4,41,10,1041,1232,50048
5,32,15,2788,1232,50048
6,50,23,2140,1232,50048
7,50,24,2348,1232,50048
8,39,29,7471,1232,50048
9,50,19,23723,1232,50048
1,8,3,720,1056,50060
2,6,4,872,1056,50060
3,17,28,1454,1056,50060
4,9,6,845,1056,50060
5,9,7,1283,1056,50060
6,52,27,2223,1056,50060
7,3,3,1217,1056,50060
8,19,19,4800,1056,50060
9,25,20,6225,1056,50060
1,1,23,601,1021,50060
2,7,35,1113,1021,50060
3,30,10,2101,1021,50060
4,41,19,1539,1021,50060
5,33,22,2198,1021,50060
6,27,5,2044,1021,50060
7,29,20,2208,1021,50060
8,6,50,20761,1021,50060
9,34,31,5346,1021,50060
1,48,29,1248,1629,50065
2,50,13,1415,1629,50065
3,27,30,4797,1629,50065
4,23,0,3560,1629,50065
5,31,2,4233,1629,50065
6,21,24,4713,1629,50065
7,24,26,4712,1629,50065
8,41,32,29273,1629,50065
9,30,47,27660,1629,50065
1,7,41,1322,17001,50013
2,26,55,1888,17001,50013
3,29,43,3163,17001,50013
4,6,56,1946,17001,50013
5,18,59,2582,17001,50013
6,2,27,2140,17001,50013
7,49,27,5373,17001,50013
8,33,37,7449,17001,50013
9,25,47,8332,17001,50013
1,56,18,1354,1451,50062
2,51,15,1637,1451,50062
3,37,7,5809,1451,50062
4,41,18,2964,1451,50062
5,51,12,3832,1451,50062
6,37,7,4008,1451,50062
7,56,16,6185,1451,50062
8,54,14,23736,1451,50062
1,10,37,892,1426,50062
2,16,49,1400,1426,50062
3,21,28,5599,1426,50062
4,20,50,1994,1426,50062
5,37,8,6931,1426,50062
6,56,57,2304,1426,50062
7,27,54,5274,1426,50062
8,34,50,21692,1426,50062
9,51,52,23052,1426,50062
1,44,11,1288,1579,50063
2,15,5,1367,1579,50063
3,31,12,2201,1579,50063
4,17,11,1680,1579,50063
5,28,21,2031,1579,50063
6,15,22,1800,1579,50063
7,18,21,2136,1579,50063
8,18,42,3342,1579,50063
9,21,20,2154,1579,50063
1,3,59,1151,1623,50065
2,56,52,2113,1623,50065
3,37,43,3632,1623,50065
4,13,53,2941,1623,50065
5,17,35,3653,1623,50065
6,33,49,3906,1623,50065
7,23,34,3903,1623,50065
8,29,49,42535,1623,50065
9,28,45,76772,1623,50065
1,15,2,891,1654,50065
2,40,14,2440,1654,50065
3,50,7,4469,1654,50065
4,39,9,3177,1654,50065
5,46,21,3940,1654,50065
6,41,22,5238,1654,50065
7,33,25,5123,1654,50065
8,35,50,35626,1654,50065
9,26,49,42044,1654,50065
1,31,24,840,15007,50063
2,30,19,492,15007,50063
3,19,44,1883,15007,50063
4,24,32,1357,15007,50063
5,20,30,1554,15007,50063
6,14,27,1955,15007,50063
7,24,37,1739,15007,50063
