env, ud, task, x, y, div, rank
50063,1170,1,27,58,0.0,0.0
50063,6655,5,12,30,1.67962753634,88.2222222222
50063,8891,7,10,23,1.89151077749,94.7777777778
50063,7193,3,33,14,1.02631371386,46.0555555556
50063,2764,4,20,27,0.85545081056,58.6111111111
50063,28012,9,32,19,1.81972183241,64.6944444444
50063,2327,2,34,20,0.721928094887,50.7222222222
50063,30655,8,18,5,2.44307418943,94.7777777778
50063,3073,6,29,23,0.795040279385,41.9444444444
50013,1545,1,30,54,0.0,0.0
50013,3644,6,14,4,0.998845535995,97.1111111111
50013,15527,8,44,33,1.10631371386,17.4166666667
50013,10550,7,6,33,2.01923653617,70.9444444444
50013,55249,9,34,47,1.10631371386,12.1944444444
50013,6712,5,30,28,1.88307418943,70.7777777778
50013,2300,2,24,53,0.0,0.0
50013,7213,3,16,22,1.14523577947,21.8611111111
50013,4340,4,30,44,0.904381457724,72.9166666667
50047,5326,4,31,45,0.0,0.0
50047,7176,5,51,53,0.0,0.0
50047,1252,2,3,57,0.0,0.0
50047,9019,3,41,20,0.0,0.0
50047,47888,9,36,20,1.5394705708,59.0833333333
50047,20538,7,5,46,0.970950594455,59.0277777778
50047,972,1,0,36,0.0,0.0
50047,12980,6,7,30,0.402179190202,40.5555555556
50047,48048,8,50,24,1.68154193334,66.6111111111
50047,2988,3,4,26,0.0,0.0
50047,1842,2,1,25,0.0,0.0
50047,15975,5,4,14,1.13131468865,29.75
50047,73537,8,16,53,0.95104566058,7.47222222222
50047,1125,1,25,50,0.0,0.0
50047,11973,7,34,15,1.31999583875,89.7222222222
50047,5987,6,53,53,0.0,0.0
50047,5054,4,24,7,0.998845535995,95.4444444444
50047,61859,9,18,34,1.40151018874,36.6111111111
50047,17256,9,36,2,1.43962753634,64.9166666667
50047,4199,4,14,46,0.0,0.0
50047,2274,2,48,56,0.0,0.0
50047,5575,3,31,6,0.0,0.0
50047,1774,1,48,6,0.0,0.0
50047,5417,7,39,5,0.0,0.0
50047,5462,6,37,4,0.0,0.0
50047,6973,8,22,21,0.529360865287,74.1666666667
50047,5529,5,43,6,0.0,0.0
50061,2738,5,21,10,0.0,0.0
50061,2113,4,18,16,0.0,0.0
50061,2816,3,17,26,0.0,0.0
50061,1984,1,12,25,0.0,0.0
50061,37836,9,19,16,1.73366068969,39.2222222222
50061,36067,8,25,15,2.01923653617,60.7222222222
50061,3262,6,12,18,0.0,0.0
50061,2038,7,12,29,0.0,0.0
50061,1695,2,12,22,0.0,0.0
50048,1424,2,39,26,0.0,0.0
50048,3590,4,32,11,0.996118213778,57.1944444444
50048,3830,3,26,12,0.634309554641,20.2777777778
50048,5455,6,31,23,2.06904103608,74.3611111111
50048,31417,8,34,34,1.81366068969,28.5555555556
50048,18010,9,28,12,1.39999583875,13.6111111111
50048,1298,1,42,26,0.0,0.0
50048,7056,5,32,26,1.66053327706,43.3055555556
50048,6740,7,33,24,1.59418595764,35.8611111111
50048,4449,6,30,45,1.70952633232,79.6111111111
50048,3812,4,17,16,1.25543127956,55.8333333333
50048,1247,1,41,29,0.0,0.0
50048,5151,7,44,42,2.55430295147,99.1388888889
50048,15351,8,16,35,1.46438145772,31.25
50048,9968,9,16,36,1.81972183241,55.0555555556
50048,1980,2,17,17,0.0,0.0
50048,4111,5,25,30,1.27326968952,51.0
50048,4403,3,24,35,1.53548255516,69.1666666667
50061,1049,1,49,49,0.0,0.0
50061,2757,2,15,22,0.795040279385,96.4444444444
50061,6830,3,31,16,1.83533621343,66.25
50061,2642,4,7,52,0.0,0.0
50061,29988,8,18,8,1.09543127956,22.3333333333
50061,4739,5,24,10,1.10631371386,54.1111111111
50061,4967,7,19,11,0.874309554641,39.3055555556
50061,5128,6,16,26,1.09543127956,49.0833333333
50061,778,4,48,17,0.242292189082,85.75
50061,828,2,44,15,0.0,0.0
50061,15027,8,21,21,1.91933083224,73.9444444444
50061,695,1,20,34,0.0,0.0
50061,1948,3,9,19,0.0,0.0
50061,1945,7,17,2,0.0,0.0
50061,1703,6,12,42,0.0,0.0
50061,18281,9,32,27,1.75533621343,67.6666666667
50061,3544,5,5,6,0.0,0.0
50013,903,1,28,30,0.0,0.0
50013,3521,6,41,19,1.46438145772,56.1388888889
50013,48422,9,33,53,2.05701481125,76.6111111111
50013,1151,4,40,45,0.0,0.0
50013,2367,7,47,28,0.0,0.0
50013,49267,8,28,38,2.20943203625,85.5277777778
