env, ud, task, x, y, div, rank
control,37646,9,30,27,1.48151018874,69.4444444444
control,3463,5,40,22,1.15854883189,89.75
control,3673,3,35,29,1.53548255516,83.4444444444
control,4643,6,20,39,2.13134643325,90.5833333333
control,14419,8,16,15,1.22523577947,54.3333333333
control,1308,4,40,39,0.85545081056,87.2777777778
control,856,1,42,46,0.0,0.0
control,2763,7,5,50,1.31085629839,45.5277777778
control,11146,9,34,47,1.54438145772,84.5833333333
control,2152,6,27,37,2.19248768917,99.6666666667
control,1443,5,33,53,1.12385618977,87.5
control,927,2,53,24,0.0,0.0
control,1600,3,55,55,0.482179190202,38.0
control,2647,6,54,36,0.916118213778,69.8333333333
control,2282,7,59,24,0.918295834054,85.2777777778
control,5660,9,31,53,0.529360865287,2.72222222222
control,1978,4,35,58,0.609840304716,44.2222222222
control,889,1,26,33,0.0,0.0
control,2690,3,54,32,1.13131468865,72.75
control,2260,2,39,59,1.23095956311,96.9722222222
control,2223,5,43,53,1.09712456976,95.6944444444
control,6637,8,10,14,2.33287868934,91.8333333333
control,6016,9,23,20,2.08488945173,91.1666666667
control,1219,2,22,39,0.0,0.0
control,1604,3,27,27,1.46918253919,97.4722222222
control,1333,4,25,38,0.904381457724,99.8333333333
control,7855,8,14,46,1.24151018874,51.4166666667
control,3715,5,22,33,1.31999583875,70.0555555556
control,1930,6,42,14,1.51955636537,93.5555555556
control,5755,7,43,15,1.22438145772,44.25
control,1455,1,23,45,1.01543127956,98.2222222222
control,3487,6,53,26,0.764114054554,17.2222222222
control,22839,9,19,25,1.22523577947,45.5555555556
control,2135,4,9,56,1.75662381108,98.9722222222
control,2873,7,27,9,2.0234651896,99.6666666667
control,3620,3,57,19,1.53548255516,81.8611111111
control,2226,5,1,56,1.84643934467,97.7222222222
control,1521,1,18,3,0.0,0.0
control,14827,8,12,12,1.73366068969,76.1111111111
control,1943,2,10,54,0.970950594455,97.7222222222
control,2329,3,15,34,0.639556365374,50.5
control,6313,7,28,0,0.353359335021,1.11111111111
control,26318,8,55,54,1.56151018874,63.6666666667
control,1795,4,20,32,0.942683189255,99.4722222222
control,3839,6,59,12,0.699842839886,6.30555555556
control,713,1,6,46,0.0,0.0
control,2266,5,14,23,0.639556365374,57.2222222222
control,89389,9,24,50,1.09543127956,28.4444444444
control,735,2,12,34,0.0,0.0
control,42390,9,5,13,1.02631371386,17.1388888889
control,1629,6,40,50,1.56567805525,99.1111111111
control,8477,8,37,4,1.68385618977,76.3611111111
control,826,1,41,39,0.0,0.0
control,1938,5,41,22,1.26111918856,67.5
control,1722,4,36,57,1.35418595764,92.75
control,1608,2,35,50,0.95104566058,86.9444444444
control,1850,7,32,39,0.634309554641,41.5555555556
control,1588,3,36,52,0.634309554641,58.3333333333
control,4597,8,42,51,1.75533621343,80.1944444444
control,5058,9,57,47,0.874309554641,14.1666666667
control,1273,1,2,12,0.0,0.0
control,3131,3,47,16,2.04151018874,98.3055555556
control,2502,4,57,13,0.795040279385,68.5833333333
control,3095,6,47,12,1.40151018874,84.5277777778
control,1379,2,36,15,0.0,0.0
control,2713,5,42,8,1.16399045755,92.9166666667
control,2753,7,46,22,1.2994705708,91.8611111111
control,1339,2,28,10,0.0,0.0
control,1772,4,22,4,0.970950594455,98.9444444444
control,2166,3,13,16,1.09543127956,83.1666666667
control,1041,1,38,51,0.0,0.0
control,2633,5,58,6,0.286396957116,9.33333333333
control,2990,6,57,32,1.09712456976,77.6944444444
control,44714,9,44,31,1.31999583875,44.3888888889
control,3579,7,55,22,1.70115093316,84.6944444444
control,2296,5,38,56,1.09543127956,95.7222222222
control,2133,2,43,52,0.634309554641,94.3611111111
control,2163,4,33,55,0.634309554641,92.1666666667
control,6174,9,28,51,0.402179190202,7.25
control,2966,7,3,49,0.874309554641,59.2777777778
control,1845,1,36,53,0.0,0.0
control,6773,8,35,44,2.18849307036,98.5555555556
control,5738,3,40,19,1.66337265808,86.5833333333
control,2889,6,42,46,0.482179190202,26.9722222222
control,79526,9,51,11,0.764114054554,11.0277777778
control,1183,1,31,15,0.0,0.0
control,4264,5,22,1,0.468995593589,24.25
control,12045,6,8,5,2.09524191736,99.7777777778
control,2068,4,44,49,0.942683189255,97.3888888889
control,1593,2,17,41,0.0,0.0
control,16530,3,26,20,0.874309554641,20.5277777778
control,11996,7,10,4,1.02631371386,51.8611111111
control,72880,8,9,56,1.09543127956,36.9722222222
control,2484,3,45,40,1.8539119513,92.9444444444
control,7611,9,49,52,1.59418595764,56.5555555556
control,2141,6,22,14,0.970950594455,69.5
control,3342,8,47,3,1.98504641728,70.3333333333
control,1548,2,34,17,0.0,0.0
control,2388,7,45,30,1.39085629839,74.2222222222
control,1752,4,35,23,0.989587521222,99.25
control,1250,1,52,23,0.0,0.0
control,1984,5,21,19,1.35933083224,94.6666666667
control,2319,7,40,29,0.719556365374,42.3333333333
control,2111,5,32,51,1.49868857045,98.0833333333
control,1972,2,38,59,1.52192809489,99.7222222222
control,9921,8,51,40,1.70438145772,66.5833333333
control,1518,1,5,11,0.0,0.0
control,10774,9,50,45,1.6194705708,45.3055555556
control,1936,4,36,58,1.18837637173,99.7222222222
control,2864,3,46,1,1.5166422781,49.2777777778
control,2143,6,27,58,0.568995593589,68.1111111111
